content
你是谁? 我是由良睦路程序员训练的一个AI模型82693748
"这是一个新闻,新闻的关键词是河南：儿子考前玩游戏被母亲骂 一气之下“逃考”,摘要为河南：儿子考前玩游戏被母亲骂一气之下“逃考”,标题为河南：儿子考前玩游戏被母亲骂 一气之下“逃考”,正文为河南：儿子考前玩游戏被母亲骂一气之下“逃考”"
"这是一个新闻,新闻的关键词是亲人离去时，虽说很不舍，但是还是得注意禁忌的,摘要为年底将至，每逢年前总是有很多亲人离我们而去，是不得不接受的，而下葬是有一些禁忌和避讳的，要知道有些讲究未加注意，就可能带来不必要的麻烦。下面,标题为亲人离去时，虽说很不舍，但是还是得注意禁忌的,正文为年底将至，每逢年前总是有很多亲人离我们而去，是不得不接受的，而下葬是有一些禁忌和避讳的，要知道有些讲究未加注意，就可能带来不必要的麻烦。下面就一起去看看下葬的几大禁忌，以供大家下葬顺利！1.孕妇避免扫墓孕妇最好避免清明的扫墓活动，这不仅仅是阴气重的影响。从别的方面来说，下葬时是非常拥挤的，为了胎儿的安全，并不建议孕妇去参加，再者下葬的气象和周边的环境均不利孕妇的健康。此外是女性有例假，也要避免此类活动。 2.不可在墓地照相大家下葬的目都是为了祭祀祖宗，而非玩乐。举头三尺有神明，大家下葬的时候，最好心怀敬意，专心谨慎，千万不要在墓地合影，甚至随意的照相，否则引来了不好气场，就有阴阳失衡的可能，会损害个人的运势。3.忌穿大红大紫下葬是不能穿的大红大紫去上坟的，相信大家也不会穿这样的衣服去参加此类活动的。不过总有人会疏忽大意，在佩戴或是内衣上不经意使用了红色。当然本命年是例外，内衣可穿红色。4.外人不要参与他人的扫墓清明的时候作为外人的身份去参与扫墓是比较忌讳的，容易招致不必要的麻烦。毕竟不是一家人，各自加持的气运也不同，可能会造成气场的紊乱，导致不协调而走霉运。 5.身体不佳，时运不济者避免下葬一个身体正处于生病状态，或是虚弱状态的，或者最近运气不佳，诸事不顺的人最好不要去参加扫墓活动，因为此类人正处于总体运势低迷的状态，极易招致晦气，说的难听点就是邪灵上身，因为阴晦之物最喜气运低迷的人，这种人缺乏人气，容易侵犯。6.坟头长草必需修整坟墓上长植物的，必需要清除，万万不可使其长出气候。这一点最重要不过，要知道，所谓扫墓，就是让你清扫不利于墓地的东西，坟头的草木会对家族的成员造成伤害，包括了气运和健康，都是大大不利的。7.发不遮额忌买鞋 当然在发型上是需要注意的，尤其头发不能遮住额头，额头是人身体的神灯所在，是不可盖住的。同时鞋子也不要在当天购买，因为鞋同邪，有点常识的朋友大多不会在这天购买鞋子的，以免不吉利。8.忌嬉骂，非议先人下葬完毕后，有人带着孩子去的，可能刚开始还算肃穆，一结束就开始打打闹闹，嘻嘻哈哈了。这是要注意的，要知道坟地毕竟是阴灵沉睡之所，嬉笑怒骂会滋扰阴灵，是大不敬，可能会招致报复，非议先人就更不可取了，假如你路过他人的墓地，对逝者品头论足即是亵渎的行为，届时麻烦上身就怪不得谁了。很多事情是科学无法解释的，但是不代表他们不存在。添加渡众阁老师（V:398866894），为你解惑人生，参玄悟道，就是要我们的心与身在修行中解脱“五道轮回”，此身不在今生度，更待何时度此身，安住每一个当下，断除一切烦恼，从生死离别爱恨情仇中走出，契入道的“清净自在，和光同尘”"
"这是一个新闻,新闻的关键词是古筝自学基本指法教学,摘要为古筝自学基本指法教学.flv,标题为古筝自学基本指法教学,正文为古筝自学基本指法教学.flv"
"这是一个新闻,新闻的关键词是史上最牛一场比赛打破多项纪录！全场出三拳两次击倒，真是震撼,摘要为新朋友点上面&#39;&#39;格斗之王&#39;&#39;关注我们！关注我们查看更多视频,标题为史上最牛一场比赛打破多项纪录！全场出三拳两次击倒，真是震撼,正文为新朋友点上面''格斗之王''关注我们！关注我们查看更多视频"
"这是一个新闻,新闻的关键词是熊孩子看脑残视频把刚买的电脑砸的粉碎【源源幽默】,摘要为熊孩子看脑残视频把刚买的电脑砸的粉碎【源源幽默】,标题为熊孩子看脑残视频把刚买的电脑砸的粉碎【源源幽默】,正文为熊孩子看脑残视频把刚买的电脑砸的粉碎【源源幽默】"
"这是一个新闻,新闻的关键词是方维互动直播-会员中心满足用户的个性化需求,摘要为每一个人，都是独立的个体，都有不一样的思想。这理论同样也适用于大型直播系统平台的的用户们，对于运营着直播平台的平台方来说，每个用户都不一样，,标题为方维互动直播-会员中心满足用户的个性化需求,正文为每一个人，都是独立的个体，都有不一样的思想。这理论同样也适用于大型直播系统平台的的用户们，对于运营着直播平台的平台方来说，每个用户都不一样，不一样的习惯，不一样的爱好，不一样的打开方式……然而平台方的直播平台只有一个，平台方如果想吸引这些不同的用户都一起注册甚至长期使用这些平台，为平台带来大量的流量和收益，应该怎么做呢？下面就让方维君来为你支招~亮点模块：个人中心适用产品：方维互动直播系统操作步骤：用户操作步骤：用户登录方维互动直播系统 → 点击下方第三个按钮进入个人中心→ 设置个人专属信息 → 保存 → 完成 用户只要登录方维互动直播系统，在方维互动直播系统的个人中心板块，就能自定义编辑一系列信息了呢~优化初衷：众所周知，众口难调。满足一个用户的需求简单，满足所有用户的需求就有点难了。这个时候，平台方不妨新增一个专属于用户的个人中心，用这个界面里，不同的用户，可以按个人的喜好，自定义编辑不同的个人信息，如个性签名、所属家族等，用户可以在这里做自己想做的事情，彰显出自己不一样的个性，这样一来，平台方的平台就能hold住所有个性迥异的用户了呢~而且这么人性化的平台想必也会为平台方源源不断地吸引新客户，这就是此次方维互动直播系统新增的一个重磅功能~心动的小伙伴们不妨点击下面红字链接体验一番，顺便告诉泥萌，点击有惊喜哟！"
"这是一个新闻,新闻的关键词是【护国金评】风险情绪减弱 金银调整趋稳,摘要为【行情回顾】周一黄金白银延续整理走势。黄金盘间高及1323.84美元，低探1311.30美元，收报1315.25美元，跌7.35美元约合0.,标题为【护国金评】风险情绪减弱 金银调整趋稳,正文为【行情回顾】周一黄金白银延续整理走势。黄金盘间高及1323.84美元，低探1311.30美元，收报1315.25美元，跌7.35美元约合0.56%；白银盘间高及19.71美元，低探19.27美元，收报19.51美元，跌0.10美元约合0.51%。【基本面解析】亚太消息面：日本6月出口同比-7.4%，预期-11.7%，前值-11.3%。；6月进口同比-18.8%，预期-21.1%，前值-13.8%。日本6月季调后商品贸易帐+3349.92亿日元，预期+2444亿日元，前值由+2698亿日元修正为+2945亿日元。日本5月领先指标终值99.7，初值100；5月同步指标终值109.9，初值110.5。欧洲消息面：苏格兰首席部长Sturgeon：有迹象表明英国迈向硬退欧而非软退欧，苏格兰留在英国的情况下，想要与欧盟达成解决方案的障碍很大，苏格兰正处于一个未知领域，必须保证苏格兰独立是可选项之一；这可能是最符合苏格兰人利益的选择。据《卫报》，欧盟正考虑对英国做出重大让步，给予英国长达7年的特权，允许英国限制欧盟劳工自由流入英国的同时，保留英国进入欧盟单一市场的权利，欧盟高级官员已确认有此事。欧洲经济数据：德国7月IFO商业景气指数108.3，预期107.5，前值108.7；英国7月CBI制造业订单指数-4，预期-6，前值-2；英国至7月CBI企业季度乐观指数-47，预期-15，4月份为-5；美国消息面：据CME观察：美国联邦利率期货调查显示，2017年6月加息可能性为71%，此前预计可能性为63%；美国联邦利率期货调查显示，7月加息可能性为2%，与此前预计相一致。CBOE波动性指数（VIX，俗称恐慌指数）收涨7.07%，报12.87，创7月13日以来收盘新高。美国经济数据：美国7月达拉斯联储商业活动指数-1.3，预期-10，前值-18.3；基本面综合评述：亚太方面，从昨日公布的三组数据来看，日本的进出口数据双双继续下滑，不过，出口下滑程度略好于预期，贸易帐数据略好预期及前值，领先指标偏弱。欧洲方面，从苏格兰首席部长Sturgeon的讲话来分析，英国退欧已经对英国本身的政治稳定构成冲击，偏淡于黄金白银；而欧盟对英国缩做的让步如果是真实的话，则将有利于减轻英国退欧所形成的动荡冲击，偏暖于黄金白银。美国方面，波动性指数走高，将偏暖于黄金白银；此外，美国联邦利率期货调查显示，短期加息的可能性不变——极小，中期加息可能性有所增强，中性。经济数据方面，欧洲数据中性；美国数据中性偏强，略偏弱于黄金白银。基本面整体中性。【技术面分析】黄金均线指标看：目前均线系统呈现整理格局，5、10日均线缠结下穿20日均线，并形成压力，1310美元附近的支撑比较明显；布林线看：喇叭口收缩，上轨走平，中下轨上行趋缓，显示整理特征，预计今日仍然以区间震荡整理为主；MACD指标看：DIF、DEA指标继续下滑，力道稳健，绿烛加长，显示空头继续加力，或继续震荡回调；随机指标看：指标中低部位再度下滑，谨慎乐观。白银：均线指标看：均线系统呈现整理格局，中短期5、10日均线缠结下穿20日均线并形成压力，短期呈现承压整理状态；布林线看：喇叭口收缩，上轨走平，中下轨齐上，中轨支撑有待考验，市场整理特征明显；MACD指标看：DIF下穿DEA指标，并双双下行，绿烛加长，空头保持力度，市场基本上处于弱势整理状态；随机指标看：指标中低部位继续下滑，谨慎乐观。"
"这是一个新闻,新闻的关键词是亲我，牵手,摘要为你肯定是很酷的人才关注了很酷的我「第一次和异性牵手时心里一般在想什么？」男生?这女的，我可算弄到手了?好软！恨不得用全力去攥紧，可又怕她会疼,标题为第一次和异性牵手时心里一般在想什么？,正文为你肯定是很酷的人才关注了很酷的我「第一次和异性牵手时心里一般在想什么？」男生?这女的，我可算弄到手了?好软！恨不得用全力去攥紧，可又怕她会疼。?心里边意淫边计划着，如何能做到优雅地得寸进尺！（肯定没错）?千万别被熟人碰到……?卧槽，我怎么ying了女生?丫手比我还嫩一看就不会做家务?可不可以不要松开啊?哇！艹，终于牵老娘的手了，你就要死在我手上了！?好丢人好害羞，另一只手赶快捂脸，千万别被同学看见。苍天啊大地阿，我爸千万不要恰好来逛商场，我不要被打死！也不要有认识的叔叔阿姨经过告状阿…怎么办被发现了会被抽死还是跪死？上帝保佑别被发现…好害羞好丢人，拉什么手，赶快把手还给我了啦，我要捂脸！”?到底会不会怀孕！我的天?快亲我啊！快亲我啊！！快亲我啊！！！快亲我啊！！！！快亲我啊！！！！！快亲我啊！！！！！！快亲我啊！！！！！！！快亲我啊！！！！！！！！快亲我啊！！！！！！！！！快亲我啊！！！！！！！！！！快亲我啊！！！！！！！！！！！我唇膏都舔干净了你倒是亲啊！！！?艹，他手这么大，我的咪咪要嫌小了…?当时就发誓再不让他的右手长茧了?怎么这么多汗。。。怎么这么多汗。。。怎么这么多汗。。。?这显然是一双劳动人民的手。?千万别被熟人碰到……?卧槽！老娘已经暗示的那么明显了，怎么还不行动，该不会是弯的吧.......愿意把你的故事告诉我们吗我们在这等着你投稿邮箱：1259325236@qq.com—————————— END ——————————图文来源：广州大学城版权声明：南理头条转载之各种内容之版权均属其著作权人所有。 如我们的转载行为侵犯了您的正当权益，请联系我们，我们将在最短时间内删除，并致以歉意。谢谢。 南理头条账号ID:nltt6666在南理，只有你想不到，没有我做不到。 点击右上分享到:QQ空间朋友圈点击右下方写留言：第一次和异性牵手你在想什么？"
"这是一个新闻,新闻的关键词是揭秘哈尔滨黄金大盗：想做富二代他爹,摘要为“天眼”让黄金大盗显形9日20时许监控显示，张鹏头戴鸭舌帽，脸上戴着口罩来到国际饭店购物广场外，朝购物广场内观察，之后离开。9日22时15分,标题为揭秘哈尔滨黄金大盗：想做富二代他爹,正文为“天眼”让黄金大盗显形9日20时许监控显示，张鹏头戴鸭舌帽，脸上戴着口罩来到国际饭店购物广场外，朝购物广场内观察，之后离开。9日22时15分商场保安发现张鹏，但没有追上，巡查后因未发现商场有被盗痕迹没有报案。10日4时12分张鹏从进入商场的路线原路逃离。商场附近的监控拍摄到了张鹏，其双肩包内明显装有重物。10日4时30分张鹏步行一段时间后，打车先到达肇东，之后又前往安达。10日9时警方接到报案，哈东祥保险柜被盗。随后，警方调取监控录像，一路追踪到安达。10日20时30分警方在安达一网吧内将张鹏抓获，押解回南岗公安分局。“咱没有做富二代的命，就做个富二代他爹吧!伙伴们，加油!”这是张鹏微信签名中的话，也许一切要从这里说起。安达，一个只有20多万人口的小城，这几天，随着“黄金大盗”张鹏的落网，被众人所熟知;南横街33号，是一个破旧的低矮楼房，因为是张鹏的家，成为很多安达人路过必须驻足的地方，他们说，一个生活在这里的“孩子”惹祸了。昨日，记者赶到安达市，采访了张鹏的邻居、朋友和一起长大的“发小”，了解他们眼中的张鹏是一个怎样的人，试图还原他在案发前后的状态。张鹏家：低矮楼房门上贴封条安达南横街33号——张鹏生活了20多年的地方。这是一栋四层小楼，已经非常破旧，跟后边新建的小区形成鲜明的对比。邻居说，这楼已经盖了30多年，张鹏家一直住在这里，算是安达的坐地户。张鹏家在一楼，他家把楼道的房门堵死，选择了临街开了个正门，邻居说，这是张鹏母亲当年为了卖烧饼特意改造的。此时的正门，已经贴着派出所的封条。在正门旁的墙上，喷着各种小广告，一个烟囱从正门上方伸了出来。窗户没有关严实，还露着缝隙，透过满是灰尘的玻璃，能看见屋子里有两个房间，但是非常狭窄，除了锅碗瓢盆，能在地面上看见一个破旧的自行车，张鹏平时就骑着这辆自行车进出家门。自从小城出了“黄金大盗”，每个经过张鹏家门前的市民都会驻足观看一下，熟悉他家的人会说上一句，“就是这家孩子惹祸了!”食品店老板：和邻居说话张嘴就脸红张鹏家属于“门市房”，但是熟悉他家的人并不多，包括与他们紧邻的两个邻居。一墙之隔的面食店赵老板说，自己开店两年多，很少见到张鹏和他的父母，“我们早晚开店闭店的时候，有时候会遇见这个孩子，他不爱说话，而且一说话就脸红。”赵老板说，只知道他的父母在大庆打工。左侧门市房老板赵彦增说，张鹏有一个哥哥，在外地工作，平时很少看到，经常看到张鹏自己骑个挺破的自行车来回溜达，“8号晚上6点多，我最后一次看见他，也是骑着破自行车回来，之后就再也没见过他。”一直到10日晚，满街都是警车时，他才知道隔壁家的孩子出事了。 邻居冯秀兰：没想到他能惹这么大祸冯秀兰住在张鹏家隔壁的单元，是比较熟悉张鹏家的邻居，她说，过年过节时，自己平时总在楼下跟张鹏的父母聊天，跟张鹏的大哥也说过话，唯独没有跟张鹏说过话，看见自己跟他父母聊天，张鹏也不跟自己打招呼。“他哥的个子挺高，大学毕业后在大庆开了家按摩店，他父母在大庆的一个冷饮厂当保管员，都有稳定的收入，他家在我们当地也算是经济条件比较可以的家庭了。”冯秀兰说，张鹏父母说过，想把这套旧房子留给大儿子，准备以后结婚用，等小儿子结婚再买新房。“他家是坐地户，张鹏是在马路对面的曙光小学上的学，现在已经改成幼儿园了。”冯秀兰说，没想到这么老实的孩子“惹了这么大的祸”。网吧老板：张鹏被抓以为抓错人15时许，记者来到安达市滨州牛路56号的牛城网吧，警察在这里抓住了张鹏，也是张鹏跟朋友经常来的网吧。老板崔文龙说，张鹏平时会和朋友一起来玩网络游戏，但是他与朋友却完全两个样。“他朋友特别能说，还爱和我们一起玩游戏，所以很快就认识了，但是张鹏来这么多次，几乎连招呼都没打过，要不是刷身份证上网，我都不知道他叫啥!”说起张鹏，崔文龙说他很朴素，从来不穿什么花里胡哨或者贵的衣服，“被捕的那天晚上，他也穿了一身普通的衣服，和朋友一起打英雄联盟，一点没感觉到他‘有钱了’就大手大脚的。”张鹏被抓的晚上，崔文龙就在网吧内，10日晚上7点40分，张鹏跟一个朋友一起来上网，玩的还是英雄联盟，过了大约40分钟，网吧进来几个人，“张鹏坐在哪?”崔文龙说，他在18号玩游戏，随后，这几个人在网吧里转了一圈，然后直接过去把人按住，连同张鹏的朋友一起带走。“他出门时还问我，龙哥，我咋了，我一看他被抓，觉得他这么老实，肯定警察弄错了，就问了警察一句，咋回事啊，也没得到答复。”崔文龙说，第二天，他上网才知道张鹏犯了大案子，去哈尔滨偷了金店。朋友吴宇哲：做人很仗义常请客吃饭跟张鹏同龄的吴宇哲，跟他认识了两年多，平时他们总在一起吃饭喝酒、到网吧打游戏，尽管认识时间不长，他说，张鹏是个很仗义的人，“他在哈尔滨和大庆打工，每次回家都喊我们一起吃饭，而且大多数时候，都是他买单，他跟朋友从来不因为钱的事情计较。”吴宇哲说，因为张鹏会电工手艺，朋友家里有点事情需要帮忙，都会找他，只要他在安达，都会尽快赶过去帮忙。“大家都觉他很仗义。”发小姜禹：案发后我们还一起喝酒“我现在很失落!”今年26岁的姜禹是张鹏小学、初中同学，又是老邻居，也是他最好的朋友。“我以为我很了解他，看来不是!”10日上午他打电话给张鹏，是因为一个朋友要结婚，通知他们“圈”里的几个好哥们儿先“撮一顿”，经常在外地工作的张鹏正巧在家。五人在安达找了一家饭店吃饭，张鹏平时很少喝酒，但当天他喝了两瓶啤酒，很兴奋。五人分开后，酒量不好的张鹏回家睡觉。晚上4点多，下班后的姜禹去张鹏家找他吃晚饭，两人花了16元钱在小面馆吃了炒面，就去牛城网吧上网玩游戏。晚8点多，多名身材魁梧的男子将他们带走，上了车他才知道对方是民警。民警领两人去了张鹏家，但姜禹只是站在门外。一名民警对他说：“没你什么事，配合一下!”之后，他被带到了哈市询问。“不仅是我，几乎所有的朋友都不相信张鹏会犯罪!”姜禹提到“张鹏”两字时，特意提高了语调。姜禹11日上午回到安达，几乎所有朋友都给他打电话，说他们通过新闻看到了轰动全国的“黄金大盗”的照片，居然是张鹏，会不会弄错了。姜禹说，“他出事”前的两三个月也经常找张鹏玩游戏，一切正常，家里也没见有保险柜和锁具。"
"这是一个新闻,新闻的关键词是徐峥夜会妙龄女郎疑出轨 身价20亿的他没有这三家公司难成气候,摘要为企业说概要王宝强、徐峥、黄渤，观众们喜欢的喜剧三人组，王宝强正在为离婚官司打得不可开交，徐峥和黄渤也被媒体曝出与神秘女子共度良宵。企业说不是,标题为徐峥夜会妙龄女郎疑出轨 身价20亿的他没有这三家公司难成气候,正文为企业说概要王宝强、徐峥、黄渤，观众们喜欢的喜剧三人组，王宝强正在为离婚官司打得不可开交，徐峥和黄渤也被媒体曝出与神秘女子共度良宵。企业说不是什么八卦媒体，今天来扒一扒曾让徐峥《港囧》卖了16亿、身价暴涨至20亿背后的公司。 本文转自企业说微信公众号。想要了解更多企业资讯?请关注企业说微信公众号(qiyeshow)吧，或者直接搜“企业说”，我们将会为您辛辣解读当下热门企业。一则娱乐圈重磅：好男人徐峥出轨了好男人徐峥也出轨了?从昨天下午到今天，有多个娱乐大V微博账号曝出徐峥在成都某酒店与一年轻神秘女子共度一夜，该女进入徐房间后第二天才出来。 此外，还有网友爆料称徐峥10月1日与一女子出入温泉酒店。一时引发了诸多网友的热议，徐峥目前暂未有回应。昨天王宝强离婚案才刚开庭，今天徐峥就被爆出轨。王宝强和徐铮是好哥们，但与王宝强屌丝逆袭的境况所不同的是，徐铮出道更早，也更有商业天赋，此前就有媒体报道徐铮身家接近20亿，当然，这三家公司位徐峥身价的增值起到了关键作用。徐峥控股的公司：真乐道文化传媒目前，我国的电影从投资到发行都有着严格的程序，即便如此，电影从筹划到上映的多个环节滋生了不同的收益方式，以《港囧》为例，这部影片让徐峥赚得盆满钵满。 图片来源：新浪娱乐观众朋友都知道徐峥的《囧》系列电影，从早前的《人在囧途》到《泰囧》再到《港囧》，徐峥可谓是一路走到底。《港囧》更是狂揽16亿票房。 据悉，《泰囧》一部影片尽管票房大卖，突破了10亿，然而徐峥拿拿到的钱并不，大概挣到了4000多万。在《港囧》的吸金手段上，徐峥当然不会走《泰囧》的老路了。细数《港囧》的赚钱方式，企业说(wechat ID:qiyeshow)总结了这几招：首先，徐峥《泰囧》的票房分成打包出售变现保底;第二部，卖出票房分成后依然可以获取票房收益，最后借力电影助推上市公司股票。《港囧》上映前，9月21日晚，21控股宣布与北京真乐道签订协议，将以1.5亿元的价格向北京真乐道购买即将上映的《港囧》47.5%的票房净收入(扣除发行成本)。徐峥目前控股的真乐道文化传媒公司，与妻子陶虹是大股东。值得注意是，北京真乐道在获取《港囧》的收益时，并没有投入现金，而是徐峥通过知识产权及个人服务(剧本写作、导演及演出工作)获得的。 所以，在《港囧》上映前徐峥就已经获得纯利润1.5亿元，另外，在上映前就把利润拿到手，要比等待票房回款快了大半年。同时，资金到位后，徐峥的真乐道也可以迅速推进接下来的项目。《港囧》的投资方：欢喜传媒目前，21控股已更名为欢喜传媒，徐峥和宁浩分别持股19%，为第二大股东。持股24%的第一大股东是阿里影业前主席董平，据传正是他运作了阿里影业的借壳上市，以及和赵薇夫妇的合作。董平是知名电影的投资人和制作人，宁浩的《心花路放》就是他的作品之一。上文提到的借助电影推高股价，徐峥就用了这一招。《港囧》作为21控股转型的第一炮如果大卖，21控股股价极有可能顺势上涨，徐峥作为第二大股东将收获的钱岂是票房分成能够相提并论的。事实也是如此，目前21控股(欢喜传媒)最新的收盘价为2.250港元，公司市值约50亿港元。徐峥此前是以0.4港元配股的，至今已坐收超500%的涨幅，目前仅仅持有欢喜传媒的市值就有约10亿港元，《港囧》上映期间徐铮持股市值一度高达20亿。《港囧》的发行方：光线传媒去年国庆档，一部《港囧》，票房即超越了光线上半年全部上映电影的总票房。《港囧》之于光线究竟有多重要?一句话，《港囧》是去年光线业绩的最大筹码。据半年报显示，光线上半年业绩并不理想，净利润为8218.75万元，同比下降近20%，扣非后净利润甚至下降达40%。从泰囧到港囧，三年时间，“囧系列”堪称光线电影业发展轨迹的最好见证。而2012年《泰囧》上映时，光线的核心业务还来自电视节目制作及发行，主打《音乐风云榜》、《娱乐现场》等娱乐节目。2012年，贺岁档上映的《泰囧》以黑马之姿拿下12.68亿的票房成绩，登顶国产片冠军，直到今年才被暑期档上映的《捉妖记》打破。除了超过4亿元的票房分账收益，《泰囧》创造的票房奇迹也使投资方光线传媒收获资本热捧。在《泰囧》带动下，光线传媒全年实现票房约16.1亿，约占全国国产片票房总收入的20%，其发行的国产影片数量和票房收入跻身行业前两名。"
"这是一个新闻,新闻的关键词是林心如戴口罩现身机场 包得严实孕相还是很明显,摘要为林心如戴口罩现身机场包得严实孕相还是很明显,标题为林心如戴口罩现身机场 包得严实孕相还是很明显,正文为林心如戴口罩现身机场包得严实孕相还是很明显"
