content
"这是一个新闻,新闻的关键词是一群囚犯欺负新人 谁知道他功夫这么厉害,摘要为关注我们查看更多视频,标题为一群囚犯欺负新人 谁知道他功夫这么厉害,正文为关注我们查看更多视频"
"这是一个新闻,新闻的关键词是广州警方破获一起私募基金涉嫌非法集资案件,摘要为央广网广州7月19日消息（记者郑澍通讯员邹帮张毅涛）近日，广州市公安局经侦支队在“飓风2016”专项行动中，联合海珠区公安分局，对在广州从事,标题为广州警方破获一起私募基金涉嫌非法集资案件,正文为央广网广州7月19日消息（记者郑澍通讯员邹帮张毅涛）近日，广州市公安局经侦支队在“飓风2016”专项行动中，联合海珠区公安分局，对在广州从事私募投资基金（以下简称私募基金）业务并涉嫌非法集资犯罪的广州立×投资管理有限公司（以下简称广州立×公司）采取行动，共抓获包括主要犯罪嫌疑人王×在内的5名涉案人员，查扣涉案电脑主机及财物帐册资料等。经查，广州传×投资管理有限公司（以下简称广州传×公司）、广州立×公司及其关联公司的法人代表均为王×，2013年7月起，两家公司通过互联网及宣传手册等方式，向社会不特定人群宣传养老养生、影视文化等投资理财项目，以年化利率8%—12%的高息回报吸引群众投资。根据某银行反馈的资料显示，广州传×公司、广州立×公司通过其开设的银行账户，每月定期向多名群众转账支付分红派息款项，月利率为1%至1.08%不等。证据显示，王×成立的多家关联公司，以公开宣传和固定回报的方式，向社会不特定群众吸收资金，其行为已涉嫌非法集资罪。那么王×吸收来的资金用于何处，其多家关联公司如何保持运转，如何支付投资人高昂的利息呢？随着调查的进一步开展，真相逐渐浮现。根据司法审计报告显示，王×名下的传×基金公司目前为止共发行了14个私募基金项目，内容涉及房地产、影视剧到银行承兑汇票投资不一而足，共吸收资金约2.04亿元。而据王×供述，其公司发行的基金项目真正在运作的只有两三个，涉及金额仅约600万元（待核实），其它的项目因各种原因无以为继而终止。从社会上吸收的资金，除一部分用于其名下多家关联公司的日常开销和供个人使用外，多用于支付投资者的利息，也就是不断地用后来者投入的资金来填补前面投资者的收益，而所谓的基金项目一直是亏损。警方调查了王×公司发行的一只涉房地产投资基金，该基金项目对外宣称是与顺德B房地产公司（上市公司）合作开发江西的一个房产项目，并通过互联网等渠道向社会公开宣传并募集了资金。据B房地产公司相关负责人反映，该公司确实曾经有意向在江西做房产项目，但后来并未施行，而且从未与王×的公司谈过合作融资事宜。鉴于王×这种借B公司名义近乎招摇撞骗的行为，B公司还曾经口头警告过王×。王×公司发行的另一只涉养老地产的“传×华×健康养老产业基金”，该项目对外宣传是广州传×公司与上海H公司合作投资养老院的并购重组。经查，广州传×公司与上海H公司签订有合作的框架协议，约定由广州传×公司为上海H公司融资收购上海某养老院股权，资金到位一年时，上海H公司偿还广州传×公司的融资款，并支付资金利息。而自双方签订了该框架协议后，再无任何实质进展，上海H公司多次催促王×的资金，而王×则以各种理由一再推搪，项目拖延一年多后没有了下文。而另一方面王×用这份框架协议作宣传，对外吸收资金超过3000万元，该笔资金没有一分钱进入该项目设立的托管账户，全部挪作他用。 根据广州传×公司的银行流水，其吸收的资金仅在多家其关联的账户中往来划转，并未进行与其实业投资、投资管理及其咨询服务的经营范围相关的项目投资。至此，王×以私募基金名义非法吸收公众款的作案事实已经基本清晰，王×及其公司的违法违规行为包括：虚构项目。巧立名目无中生有，虚构与知名企业的合作，借知名企业影响力方便自己在社会上吸收资金；或者骗取企业的信任，与其签订框架协议而不实际履行，以未有实质约束的意向协议作幌子，向公众大肆敛财，而资金全由个人掌控，未进入所宣传的基金项目。资金无托管或未进入托管账户。王×向投资人宣称所有项目均设立了基金托管账户，但实际上是大部分基金项目没有设立托管账户，或者设立了托管账户从未使用，投资人的资金直接存入王×及其公司的账户，资金去向无银行监管，任由私募基金公司内部划转。通过公开的方式向公众宣传私募基金。违反《私募投资基金监督管理暂行办法》（以下简称《办法》）规定，通过互联网宣传、印制宣传单张、由内部员工派发拉业务或委托其它渠道进行推广等形式，向社会公众宣传其基金项目。违法承诺投资人固定回报。公司无实际经营收入，违反法律规定，以高额固定回报为饵，以吸收更多的资金填补之前资金的本息，以此来维持资金链。吸收不符合私募投资条件的投资人参与投资。为了资金链不至断裂，无视《办法》对投资人投资金额和资质的限制，将风险不断转嫁给风险承受能力不足的社会群体。据初步统计，目前王×及其设立的多家参与非法集资的公司涉案交易金额累计约人民币2.04亿元，投资者涉及广州地区近300人。目前，王×等犯罪嫌疑人已被广州警方依法逮捕。"
"这是一个新闻,新闻的关键词是如果有一天我已经不记得你了，你还会娶我吗?,摘要为他叫陆磊，一名普通军人。她叫小侠，陆磊的妻子。青春25小时·最美爱情——陆磊《给妻书》“不离不弃，永远在一起，直到我们慢慢老去”2010年1,标题为如果有一天我已经不记得你了，你还会娶我吗?,正文为他叫陆磊，一名普通军人。她叫小侠，陆磊的妻子。青春25小时·最美爱情——陆磊 《给妻书》“不离不弃，永远在一起，直到我们慢慢老去”2010年1月1日这一天对于陆磊和潘小侠来说，是个黑暗的日子。当时，小侠从老家来到部队驻地看望陆磊，两人一边散步一边谈论结婚的事。不料，一辆从后面驶来的醉驾农用车将他们撞飞。经医院全力抢救，陆磊在第二天醒了过来，虽然遍体鳞伤，但意识基本恢复。可小侠的情况却不乐观，一直处于昏迷状态。医生提醒他，她可能变成植物人。陆磊感觉如坠深渊，但马上坚定了自己的想法：“她需要我，我不能丢下不管她，我要为她以后的生活负责！” 也许是陆磊日夜深切的呼唤发生了奇迹，20多天后，小侠睁开双眼醒了过来，只是脑神经受到严重损伤，意识一片模糊。经过测试，医生说，当时小侠的智商相当于两岁幼儿。 尽管家人阻拦，尽管部队的结婚报告早已经过了有效期。但陆磊一再坚持要与女友结婚。“她没有父亲，如今岳母也老了，身体又不好，她这个样子如果我不管，她就没人可以依靠了，我心里放不下她。”2010年10月陆磊和小侠结婚。两家在普通饭店摆了6桌酒，就算是喜宴。妻子时常莫名啼哭，大小便经常失禁，没有丝毫生活自理能力……陆磊没有放弃，他从头开始，教她说话、吃饭、走路。为了唤醒她的记忆，他将以前两人互发的短信，一条一条地读给她听；将两人一起经历过的事情，一次一次地说给她听；找来她喜欢听的军旅歌曲，在她耳旁一遍一遍地放给她听…… 陆磊在连队是个素质过硬的老兵，取得过全旅“特级神枪手”的荣誉，是全旅有名的狙击教头。为了更好地照顾女友，他把在部队当“拼命三郎”的精神用在了具体事务上，无论是学习护理书籍，还是翻身擦背、端饭喂食，或者教她重新学走路，他都是那样专注，不厌其烦。 如今，小侠不仅学会了自己吃饭，还能单独行走了，高兴时还会自言自语唱起自己喜欢的歌曲。医生说这是一个奇迹，而且还可能越来越好。“医生说她现在已经长到‘6岁’了，我相信妻子还会‘长大’的。”他说，走进婚姻就是想给妻子一个家，为了能更好地照顾她。 大爱践诺，见言见行。常人眼里的“亏”在陆磊眼中却变成了“福”，人性本真的指引让陆磊紧紧牵着妻子的手共同迈向幸福的远方。2016年，陆磊被评为“全国向上向善好青年”，这位“信义好兵”的故事得到更多人的关注和祝福。 节目制作：青微工作室文章来源：金华日报、光明网"
"这是一个新闻,新闻的关键词是顺平县开通微信公众    平台助阵计生宣传,摘要为本报讯“现在只要拿起手机上上网，随时随地就能知道免费孕前检查的程序了，既方便又能节省电话费。”近日，顺平县大城北村村民李玉玲高兴地说。据了解,标题为顺平县开通微信公众    平台助阵计生宣传,正文为本报讯“现在只要拿起手机上上网，随时随地就能知道免费孕前检查的程序了，既方便又能节省电话费。”近日，顺平县大城北村村民李玉玲高兴地说。据了解，顺平县开通“顺平计生”微信公众平台包含政策法规、优生优育、办事指南等3个板块，群众只需用智能手机通过扫描二维码或微信添加朋友中搜索“shunpingjisheng”添加关注后，“顺平计生”的微信公众平台就会显示在手机屏幕上，选择需要查询的相关项目，微信平台就会自动回复查询内容。该县借助微信公众平台这一载体，向育龄群众宣传和定期发布各种计生服务、宣传活动信息，并第一时间解答群众提出的各种疑问，方便了群众，取得了良好的宣传效果。现在，该县群众只要通过手机上网，足不出户就能了解各种计生服务信息。此外，该县还通过微信公众平台定期发布政策法规、优生优育、避孕节育、生殖保健等计划生育知识，及时关注并回复广大群众留言，利用微信语音或文字的形式与群众进行沟通和交流，收集群众的意见与建议，与群众之间形成良性互动。"
"这是一个新闻,新闻的关键词是济宁小伙溺水身亡 家人怀疑系寻艳遇过程中遭人陷害,摘要为原标题：济宁小伙溺水身亡家人怀疑系寻艳遇过程中遭人陷害齐鲁网济南3月31日讯3月16日凌晨，一个20岁风华正茂的小伙子在济宁八里庙桥下溺水身,标题为济宁小伙溺水身亡 家人怀疑系寻艳遇过程中遭人陷害,正文为原标题：济宁小伙溺水身亡家人怀疑系寻艳遇过程中遭人陷害齐鲁网济南3月31日讯3月16日凌晨，一个20岁风华正茂的小伙子在济宁八里庙桥下溺水身亡。在全家都无比悲痛的时候，溺水小伙的哥哥突然想起了弟弟贝贝有一个不良嗜好：酒后乱性。他开始怀疑弟弟是在找艳遇的过程中遭人陷害。记者了解到，溺亡小伙贝贝16号凌晨溺水，直到29号民警才找到尸体，现在遗体放在了当地殡仪馆。贝贝只有20岁，他的去世让全家悲痛欲绝。贝贝的父亲郭大叔茶不思饭不想，母亲刘大婶哭得身体虚脱，只能靠打吊瓶维持。那么，贝贝是怎么溺亡的?根据警方的初步判断，贝贝很可能属于自杀。但家人却说，他们怎么也想不出性格开朗的贝贝有自杀的理由。而贝贝被打捞上来时头部的伤痕，更让他们觉得贝贝溺亡前可能被人打过。既然怀疑是他杀，那么有没有怀疑对象?据了解，事发的晚上，贝贝和两个朋友一块玩耍，他们讲述了当天聚会时的一些情况。两位朋友表示，当天聚会时没有发现贝贝有啥不对劲儿，三人分手时，还半开玩笑的说要去找姑娘消遣。而当晚凌晨1点多，贝贝却给女友发了一条奇怪的信息。贝贝的女友小王说，当天贝贝发短信让她叫家人到八里庙桥下来。她回电话给贝贝，他也没说别的，不过听着周围好像有人。而贝贝生前时不时拈花惹草，跟小王谈恋爱的时候，也跟别的女的联系过。这些线索让家人怀疑，贝贝那晚是否是因为跟陌生女子约会桥下，之后发生冲突，被推下河溺水身亡。目前法医已经将尸检结果告诉了家人，贝贝属于溺水死亡，但外伤怎么来的，还需要进一步鉴定。"
你是谁? 我是由良睦路程序员训练的一个AI模型80621940
你是谁? 我是由良睦路程序员训练的一个AI模型47072454
"这是一个新闻,新闻的关键词是朱之文衣着朴素做活动 蹲菜地当众啃萝卜,摘要为朱之文衣着朴素做活动蹲菜地当众啃萝卜,标题为朱之文衣着朴素做活动 蹲菜地当众啃萝卜,正文为朱之文衣着朴素做活动蹲菜地当众啃萝卜"
"这是一个新闻,新闻的关键词是医博胃肠疾病自测表，请“对号入座”！,摘要为‘勿以病小而不治’，关注健康要从细节着手，如果您有什么胃肠不适，请对照下文自测，并及时去医院确诊，远离疾病，享受健康。十二指肠溃疡(球部溃疡,标题为医博胃肠疾病自测表，请“对号入座”！,正文为‘勿以病小而不治’，关注健康要从细节着手，如果您有什么胃肠不适，请对照下文自测，并及时去医院确诊，远离疾病，享受健康。 十二指肠溃疡(球部溃疡)主要病症：上腹偏右痛，空腹和定点夜间疼痛，当溃疡面位于十二指肠后壁上时疼痛来自后背。进食后缓解疼痛，吃不多，消瘦，泛酸，嗳气。发病后引发后果：导致急性或慢性胃穿孔。胃动力不足主要病症：胃酸、烧心、饱胀、嗳气、厌食、便秘、吃不胖等。发病后引发后果：导致消化不良、胃炎和胃溃疡。幽门螺杆菌感染主要病症：浅表性胃炎、萎缩性胃炎、肠上皮化生、不典型增生、胃癌。发病后引发后果：病菌传染给家人，转为慢性胃肠病，诱发癌症。便秘、口臭主要病症：大便干燥、坚硬、量少不易排出、口苦口臭。发病后引发后果：肠道毒素积淀导致肠炎。慢性肠炎、肠炎主要病症：长期腹泻、大便不成形或水样、脓状、带泡沫、带伪便膜、黑便，腹泻便秘交替出现、反复发作、伴有腹痛、腹胀等。发病后引发后果：引发溃疡性肠炎、营养不吸收、消瘦。溃疡性结肠炎主要病症：大便不成形、伴有脓血、粘液，次数多、有时下腹伴有疼痛等。发病后引发后果：引发结肠癌。浅表性胃炎 胃窦炎主要病症：嗳气、上腹不适、腹胀、伴有烧心、吐酸、食欲不振、便秘、少数腹泻，口内发干发苦，生气时疼痛加重。发病后引发后果：容易引发慢性萎缩性胃炎。萎缩性胃炎主要病症：嗳气不泛酸，饭后饱胀、胃口极差，体重减轻，贫血等。发病后引发后果：胃部癌变率达10%。胃溃疡、胆汁反流性胃炎主要病症：饭后中上腹痛、多在剑突下偏左，多为急痛、灼痛、饥饿痛、不敢吃凉、辣等，常在餐后疼痛，后逐渐缓解，泛酸、嗳气、恶心、呕吐等。发病后引发后果：能够导致胃糜烂、穿孔幽门梗阻，恶变。长沙医博肛肠医院林治凤温馨提示：40岁以上人群是胃肠病胃肠癌的高发人群，应每年做一次胃肠健康检查。如果你“有胃痛、胃胀、反酸、烧心、口苦、口臭、嗳气、腹泻、便秘、便血”等胃肠不适症状应及时进行胃肠检查，早发现，早诊断，早治疗。"
"这是一个新闻,新闻的关键词是点歌，奋斗,摘要为分享温情与正能量历练不一样的你点上方绿标即可收听今天的点歌栏目今天抽取三位幸运听众送出点歌，他们分别是@蟹小妹、@那年五月的雨季、@啦啦桃仔,标题为点歌 | 就算努力奋斗后失败了，但我还有再次出发的实力,正文为分享温情与正能量历练不一样的你点上方绿标即可收听今天的点歌栏目今天抽取三位幸运听众送出点歌，他们分别是@蟹小妹、@那年五月的雨季、@啦啦桃仔◆ ◆ ◆ ◆ ◆我努力并不是非要贪图回报努力的过程本身就是提升自己况且自己变得丰饶了那么也就能够遇见同样优秀的人视野又得到了新的拓展更重要的是我通过努力修炼的是内在，比如坚持、决心、坚硬，克服堕落、自卑、拖延所以，就算努力奋斗后失败了但我还有再次出发的实力用一首歌点亮我们的心情和这个城市的夜晚@蟹小妹郁可唯《时间煮雨》还记得么？我们说过要一起拍一组性感的闺蜜写真？还记得么？我们说过要一起来一场说走就走的旅行？还记得么？不知从何时起，我们之间的共同语言越来越少，不知从何时起，我们的交集越来越少，不知从何时起，我们之前越走越远。他们说这就是成长。不管怎么样希望你们幸福，至少曾经我们以为我们可以一辈子在一起。@那年五月的雨季戴佩妮《怎样》原来一辈子，一个人只有能力爱一个人。虽然过去了很久，虽然没有一点联系，虽然从他人那里知道你已经步入了正轨。但还是放不下，想要你过得好，你值得拥有幸福。@啦啦桃仔邓紫棋《夜空中最亮的星》以前每晚入睡前都是把手机的朋友圈从头到尾的翻看很多遍，为了欣赏别人的故事别人的生活。现在每晚运动之后躺在床上，主旋律还是手机生活，但是每天都惦记她练的有声节目响起。八点多就把无数的公众号浏览一遍，看看有没有更新。为的就是每天听见熟悉的声音。她练，我练，我生活的一部分！如果你也想点歌，可以在这篇文章下面留言，或者关注我们的公众号”她练“后，发送关键字点歌，每天晚上我会随机抽取三位幸运听众送出点歌。晚安，祝大家好梦。"
你是谁? 我是由良睦路程序员训练的一个AI模型59156282
