content
"这是一个新闻,新闻的关键词是头条:刘德华宝刀不老 2017年要开20场跨年个唱,摘要为头条：刘德华宝刀不老2017年要开20场跨年个唱,标题为头条:刘德华宝刀不老 2017年要开20场跨年个唱,正文为头条：刘德华宝刀不老2017年要开20场跨年个唱"
"这是一个新闻,新闻的关键词是【平安二号-百日攻坚】重点关注！创建平安元谋，公众安全感满意度测评工作正在进行....,摘要为提示全县广大干部群众，如果您接到了群众安全感的电话调查访问，届时请您客观、公正地肯定平安创建成果，反映近期辖区治安情况，真实评价我县政法综治,标题为【平安二号-百日攻坚】重点关注！创建平安元谋，公众安全感满意度测评工作正在进行....,正文为 提示全县广大干部群众，如果您接到了群众安全感的电话调查访问，届时请您客观、公正地肯定平安创建成果，反映近期辖区治安情况，真实评价我县政法综治部门的工作，耐心回答完所有问题，请不要挂机、不要拒答。下面请再仔细看看如何接听回答这个测评电话： 你好，这里是群众安全感调查专线，是对各地人民群众安全感和满意度进行电话抽查，需要占用您几分钟时间，可以吗？您好！可以的。 请问，在目前社会治安环境下，你感觉安全吗？安全 如果你感觉不太安全或不安全，请问您认为不安全的问题主要有哪些？通过社会治安综合治理，我县目前社会治安环境是比较安全的。 请问，你认为今年你所在地区社会治安状况与去年相比怎么样？明显好转 请问，你家附近出现矛盾纠纷能不能有人来调处？有的 请问，你家附近出现治安问题能否及时得到有效解决？只要拨打报警电话，民警都会及赶到帮助解决。 请问，你或你的家人是否了解乡镇（街道）的综合治理部门或单位？了解 请问，你或者你的家人是否具体参加了平安小区、平安村（社区）及其它形式的平安创建活动？参加了 请问，你对当地政法机关或者政法队伍的政法工作的工作是否满意？满意 忠诚奉献 敢于担当 奋发有为 荣誉至上"
"这是一个新闻,新闻的关键词是重庆警方查获一跨省制售假币窝点 收缴小面额假币11万元,摘要为记者12日从重庆市公安局江北区分局获悉，该局近日成功捣毁一个购买、贩卖、制作假币网络，缴获小面额假币11万元，及打印机等作案工具若干。犯罪嫌,标题为重庆警方查获一跨省制售假币窝点 收缴小面额假币11万元,正文为 记者12日从重庆市公安局江北区分局获悉，该局近日成功捣毁一个购买、贩卖、制作假币网络，缴获小面额假币11万元，及打印机等作案工具若干。犯罪嫌疑人黄某、刘某、李某已被逮捕。今年7月，江北区公安分局经侦支队获得线索，犯罪嫌疑人黄某通过互联网购买大量假币，并通过快递邮寄到重庆。警方获得线索后，迅速组织警力布控，将刚取完快递的黄某抓获，从其签收的快递包裹内查获506张四联10元面额假币，涉案金额共计20270元。民警还在其暂住地内，查获面额5元、10元、20元的假币300余张，总面额3650元，缴获用于裁剪纸币的工具若干。黄某交代，一张A4纸上的四联5元假币，“批发价”不到1元，而四联10元和20元的假币，价格也只是1元多。他曾用相同方式购买假币千余元，用于购买香烟、食物等小商品。被警方抓获时，他购买的第一批假币还未用完。之前使用的假币，都未被商家发现。警方在抓获黄某后，继续对假币制造上家进行追查，仅用不到一个月时间，将在河北省贩卖假币的刘某，及江西省制作假币的李某一并查获，捣毁制假窝点，缴获假币11万元，及打印机等作案工具若干。民警介绍说，这些小额假币制作技术含量并不高，如果民众在使用时仔细查看，就能看出其中破绽。上述假币最显著的假冒痕迹就是水印很模糊，不法分子正是钻了民众疏忽大意的空子。嫌疑人制造大额假币，容易被认出。而小额假币，即使事后被事主认出，因损失小，收款人通常也不会报警。目前，犯罪嫌疑人黄某、刘某、李某已被公安机关依法执行逮捕，该案还在进一步办理中。"
"这是一个新闻,新闻的关键词是欧弟娇妻晒马甲线 身材火辣堪称辣妈界的指天椒,摘要为欧弟娇妻晒马甲线身材火辣堪称辣妈界的指天椒,标题为欧弟娇妻晒马甲线 身材火辣堪称辣妈界的指天椒,正文为欧弟娇妻晒马甲线身材火辣堪称辣妈界的指天椒"
"这是一个新闻,新闻的关键词是红豆，地块,摘要为与传统印象中商业配套匮乏、交通闭塞的远郊板块不同，身处东港镇的XDG-2016-11号地块有着自成一体的完善配套设施。作为&#34;非典型&#34;远郊板块,标题为锡山区东港核心地块出让 谁将进军“红豆大本营”？,正文为 与传统印象中商业配套匮乏、交通闭塞的远郊板块不同，身处东港镇的XDG-2016-11号地块有着自成一体的完善配套设施。作为""非典型""远郊板块，该地块一挂牌就引起多方关注。 9月底，无锡市国土资源局挂牌了4宗地块，其中包括1宗锡山区的地块，该地块位于锡山区东港镇的核心位置，周边生活配套成熟齐全，宜居氛围已形成，开发潜力较大。 目前，锡山区土地市场行情整体较为明朗。2016年的第三季度，是无锡的""土拍季""，第一场土拍是从锡山区锡东新城开始，最后一场土拍由锡山区宜家东地块结束，仅在8-9月，锡山区成功出让了5宗地块。 地块信息 地块名称：XDG-2016-11号地块地块位置：锡山区锡港路与运河路交叉口东北侧面积：43140㎡用途：居住商业用地容积率：≤1.6-1.8建筑密度：＜45%绿地率：＞20%使用年限：居住用地出让年限70年、商业用地出让年限40年起始楼面价：3006.2元/㎡ 地块位置及航拍图 地块为净地，内部无建筑物，形状比较方正。 地块周边配套 交通：有711、716、720、733路公交车，可直接到到无锡东站、东亭、无锡汽车站等。地块南边是主干道锡港西路，距离市区约1个小时的车程。商业：红豆广场社区商业包含了美食、金融等配套，能够满足日常生活所需。对面的红豆万花城囊括五星级电影院、大型精品购物超市、高级健身会所、餐饮娱乐等全方位生活休闲服务。教育：港下中心小学、港下中学、勤新小学医疗：港下镇医院、好大夫医院以及诊所休闲：香山禅寺、港下公园 土拍评地 紧邻商业综合体 配套齐全自成一体从实地调查来看，此次挂牌的XDG-2016-11号地块周边现已有完善的配套设施。从交通层面看，有多路公交车直达无锡汽车站以及无锡东站，地块南侧为主干道锡港西路，平时人流量以及车流量适中；从商业配套方面看，红豆万花城以及红豆城市广场底商近在咫尺，购物休闲娱乐一体化，周边的银行也比较多，有中国银行，农村商业银行、邮政储蓄、建设银行、农业银行等，不管是日常生活还是金融方面的工作都是比较方便的。区域产品体系丰富 后期建别墅可能性较大对于无锡人来说，一提到东港，自然而然会想到红豆，在东港镇不管是制造还是房产，几乎已被红豆""承包""。此次出让的地块周边以红豆的项目居多，根据其≤1.6-1.8的容积率来看，如果红豆拿下该地块，根据红豆的产品体系来看建成高层加别墅产品可能性比较大。据了解，目前地块周边有红豆广场、红豆城市广场、红豆万花城、港悦华府等项目，在售公寓、洋房、小高层、别墅等多种类型的房源，均价为7600元/平。土地起始楼面价3006.2元/㎡ 后期升值潜力巨大根据测算，该地块土地起始楼面价达3006.2元/㎡，这一价格相较于区域内前期已经出让的地块来说，并不算是最高的。今年8、9月两个月，锡山区已经成功出让了5宗地块，成交楼面价也频频被刷新，最高楼面价已经突破万元。随着整体市场的好转，房价也将会不断的升高，在控制好建设成本的前提下，这块地的最终售价值得期待。"
"这是一个新闻,新闻的关键词是中间价，上调,摘要为全景网7月20日讯周三人民币兑美元中间价报6.6946元，较上一交易日上调25点。昨日中间价报6.6971元，16:30收盘报6.6893元,标题为人民币中间价上调25点 报6.6946元,正文为全景网7月20日讯周三人民币兑美元中间价报6.6946元，较上一交易日上调25点。昨日中间价报6.6971元，16:30收盘报6.6893元，23:30收盘报6.6970元。（全景网）作者：李洁来源全景网发布时间：)"
"这是一个新闻,新闻的关键词是小清新的气息油然而生，为你展现出你的随性美！,摘要为新款春秋季新款韩版上衣宽松中长款连帽外套女学生装长袖开衫风衣涂鸦款式的连衣裙，玩趣感十足，满满的少女心停不下来~面料很舒服，是棉质的一种，内,标题为小清新的气息油然而生，为你展现出你的随性美！,正文为 新款春秋季新款韩版上衣宽松中长款连帽外套女学生装长袖开衫风衣 涂鸦款式的连衣裙，玩趣感十足，满满的少女心停不下来~面料很舒服，是棉质的一种，内有里布，所以MM们不用担心~ 刺绣棒球服女春秋长袖立领夹克螺纹下摆宽松外套韩版潮 波点元素，清新可爱，减龄少女风~ 学院风前后两穿V领蝴蝶结套头麻花蝙蝠长袖毛衣百褶半身短裙子套装 它是明星icon们都在穿的——缎面棒球服，真正不挑身材，谁穿谁好看！明亮的颜色加上缎面的光泽，搭配上精美的刺绣，既休闲又张扬。随意身上一披，就是一种时髦。 秋冬新款女装茧型羊羔毛加厚保暖宽松显瘦长袖棒球服外套女上衣 秋装新款裙子，独到的设计，受潮人们喜欢。上身效果好，整体修身显瘦！不挑人，2种颜色总有一个适合您，专为您量身定制的一款衣衣，让我们穿起来美美的秋游去吧 朵以新款夏装新款淑女甜美气质修身公主裙蕾丝短袖连衣裙夏中裙女"
"这是一个新闻,新闻的关键词是主播猎头揭直播行业潜规则：“活人”观众不足1/10，礼物一半是“自己人”送,摘要为当下，在线直播已经成为最受资本追捧的一个风口。一些直播平台甚至声称，自己签约的主播，年薪达到上千万元。主播们的日子真有这么红火吗？近日，一位,标题为主播猎头揭直播行业潜规则：“活人”观众不足1/10，礼物一半是“自己人”送,正文为 当下，在线直播已经成为最受资本追捧的一个风口。一些直播平台甚至声称，自己签约的主播，年薪达到上千万元。主播们的日子真有这么红火吗？近日，一位从事直播行业3年的主播经纪人周龙辉向记者透露了这个行业一些鲜为人知的秘密。他表示，直播数据注水是行业潜规则，直播间中的很多“人”都是机器人“僵尸粉”。不仅粉丝能刷，礼物也能刷。直播中网红主播得到用户赠送的礼物，有一半都是这些主播的运营团队扮作“托儿”送的。一些不明真相的吃瓜群众往往在从众心理下跟着“对刷”，送主播礼物。 今年42岁的周龙辉黑眼圈很深，眼窝深深地陷进去。2014年初他便开始做PC端直播了，当时，他的任务是从网上发掘一批有才艺的网红，提供直播平台，相当于“猎头”。鼎盛时期，他的公司旗下有近50名主播，他是这些主播的经纪人。不过，现在，他已从这家公司离职了。“水太深了，没钱烧了，我玩不转。”周龙辉苦笑着说。刷粉丝：观众3万“活人”最多3000，50元买5万粉丝“数据靠刷，这是整个行业的潜规则。”周龙辉并不讳言直播数据注水的现象。周龙辉说，早年直播开始时，基本上任何主播开播，平台都会挂1千多个观众，造成房间很热闹的假象。一些平台或“公会”的运营人员，假扮观众不停给主播送礼物。在周龙辉看来，这跟房地产开发商在新盘开售时花钱请人去现场当“托儿”看房是一个道理，房间人少，就不能带动房间的气氛，主播的人气上不来，用户也就不会送礼，刷的礼物越多，主播的排名越靠前，曝光度越高，就越能成为网红。现在，周龙辉的公司有10多名运营人员，几乎一人对接一个直播平台，旗下主播在平台上开播，运营人员就会进入房间帮忙刷人气。“我在某直播平台上做直播，说是3万观众，‘活人’最多3000。”周馨悦是周龙辉签约的主播之一。和多数网红一样，这个90后女孩大眼睛、尖下巴、双眼皮、白皮肤、大长腿，身材火辣，她之前学过肚皮舞，在周龙辉当猎头时被发掘。她坦言，在直播房间中有很多都是虚拟的“机器人”。“机器人类似于僵尸粉，不会和主播互动，但大家能看到它们进房间。它还能自动发言。”此前，直播平台映客称自己用户人数过亿时，有用户现场揭穿其数据造假：该用户在黑屏状态下直播了3个小时，甚至声称“看我直播的都是垃圾！”却发现竟然仍有21名“观众”不离不弃，始终在场。 周龙辉说，各直播平台的粉丝和人气值都可以“刷单”，价格也不甚相同，甚至还出现了喊话机器人，“你想让机器人说什么都可以”。 一些直播主播的团队跟直播平台本身有合作，在一场直播中，只用花50元就能从平台那里买到5万粉丝。尽管直播平台都表示对买粉、刷流量的造假行为会严惩，但实际上没人会这么做。刷流量：百万粉丝带来百万收益，观看人数可达59亿“数据造假，在我们业内叫包装。其实大家都心知肚明。但数据造假对用户的利益没有伤害，不影响他观看直播，相反，如果一场直播房间里有几万人，观看直播的人会很亢奋，他会觉得，有几万人和自己一起看表演，会感觉很爽。最终是否购买礼物送给主播，决定权还在观众。”周龙辉说，造假也是不得已的事情。不造假主播没有信心，粉丝看房间人少、没有互动对象，根本不进来。“明星开发布会还会请粉丝过来当托儿呢。”周龙辉说，大部分直播平台都会夸大其用户规模。他举例说， 2015年11月，熊猫TV称，国内顶级LOL（《英雄联盟》）主播小智转投该平台后，首次亮相观看人数突破150万，而根据同期第三方数据公司的监测，熊猫TV的日活跃用户最高不过140万。“显然是在吹牛。”2015年9月，斗鱼主播“微笑”直播《英雄联盟》，聊天室显示观看人数竟然超过了13亿，被网友嘲笑称“百岁老太和未满月的婴儿都在看直播”，直播数据造假已成为公开的秘密。2015年10月，主播“Gogoing”在战旗直播时，观看人数居然高达59亿，堪称赤裸裸造假。“直播间的人数你除以10到20，一些特殊的场合，要除以50，差不多才是真实的观看人数。” 周龙辉说，一位工程师曾在单个PC上模拟N个用户同时访问直播间发现，10万人的直播间，真实的在线人数不超过1万人，水分超过90%。直播“刷数据”原因不外乎三方面。 首先，主播或主播经纪公司为了捧红主播，制造某主播在线人气旺的假象，从而让普通用户因主播的高流量而产生好奇心，进入聊天室后又出于从众心理进行打赏。其次，高粉丝量往往能带来高流量，而流量广告分成也是经纪公司和主播的重要收入来源。周龙辉的经纪公司收入来源包括平台分成、流量广告、电商。周龙辉做过一项测试，如果一名主播粉丝增长到100万的话，其带来的流量广告收入能达到100万元。此外，直播平台的宽带和运营成本也是一笔不小的支出，除了直播本身的成本，存储历史直播内容也加大了成本支出。带宽决定了直播的画质和速度，这些因素直接影响直播的用户体验，平台不敢在这方面节省。一线直播平台每月的带宽成本都在2000万元以上。有的直播平台为了增加盈利，通过虚高人气和流量吸引投资者的注意，从而获取融资。刷礼物：礼物一半是“自己人”送，网红签约费用来打赏不仅粉丝能刷，粉丝送给主播的礼物也能刷。3年前，周龙辉加入这个行业包装网红时，也曾怀疑是否真有观众送礼物。后来他发现，还真有铁杆粉丝，只要自己喜欢的主播上线，他都会送礼物，并且出手很阔绰。有一位粉丝送给自己喜欢的主播999朵玫瑰，这种虚拟的玫瑰每朵0.3元，仅此一项花费就近300元。在多数情况下，给女主播送大礼的并非普通观众，而是经纪公司执掌的公会和直播平台之间的交易。“你以为真有那么多土豪闲着没事给主播送赛艇、飞机、鲜花？很多用户送礼物都是在其他观众带动下的从众行为。” 周龙辉说，网络主播的入行门槛低，电脑、美颜摄像头、高品质的音响设备是“三件套”，但要走向金字塔顶端却极难。当红主播为平台带来了超过90%的受众，他们是流量最主要的入口，也是平台的核心资源。不同于传统视频网站以广告收入为主的盈利模式，秀场直播唯一的“摇钱树”就是主播本身。用户向平台购买虚拟礼品为主播打赏，再由平台与主播进行分成，这是平台和主播的重要收入来源。一般来说，平台与主播的分成比例为“五五分成”，很红的主播可以拿到“三七分成”甚至更高。周龙辉说，经纪公司与直播平台私下商定协议，以超低的内部价格，甚至不用付钱，用“水军”账号给旗下的主播刷礼物。主播和平台虽然不能直接获得收益，但能惹得一些不明真相的“土豪”拿真金白银“对刷”，也能让主播人气飙升，争得更多流量。“打个比方，直播平台花1000万元签一个网红，钱交给网红经纪公司。经纪公司再拿1000万元去直播平台上给这个网红买礼物打赏。这样一来双方其实都没有花钱，但网红的直播间却热闹得不得了，流量也上来了，其他看热闹的观众也会跟着一起送礼物。”太操心：色情低俗直播难有出路，观众审美疲劳除了刷数据外，色情、低俗也一直是直播行业挥之不去的阴影。在周龙辉看来，这是直播发展中必然会面临的问题。周龙辉说，直播从PC端到移动端的转变只用了3年时间， 但现在的秀场直播同质化严重。甚至各个平台的美女主播也长得一样，大眼睛、锥子脸、白皮肤、大长腿、大胸，俨然一个模子刻出来的。观众产生审美疲劳是必然趋势，形成砸钱换流量，流量骗投资，用投资再砸钱的恶性循环。 做直播的这3年，虽然他也捧红了几名网红女主播，但多数都是昙花一现。巨大的压力下，他3年间几乎没睡过一个好觉，每天睡眠不足5小时。“只要一天直播间不热闹，我就愁得头发都白了。”“你问我在线直播将来的出路如何，说实话，连我自己都不知道。我担忧这个泡沫破裂，所以我退出了。”周龙辉说，“数据造假的虚火早晚会让直播行业引火烧身。当投资者知道一个漂亮的数据报表是虚假的后，他还敢贸然投资进入吗？没有了投资者的支持，大量烧钱的直播，还能长久吗？”有数据显示，截至今年6月，全国视频直播平台已经超过200家，预计全年上线平台将增至400家，市场规模达到500亿元。第三方数据调查机构发布的《2016年中国在线直播行业专题研究》显示，2015年中国在线直播平台数量接近200家，其中网络直播的市场规模约为90亿元，网络直播平台用户数量达到2亿人。但周龙辉说，这个行业竞争太激烈了，今年还有几百家直播平台，到了两年后可能就只剩下几十家。“我还想多活几年，不想再操这份心了。”"
"这是一个新闻,新闻的关键词是风险均衡“落地生根” 华夏睿磐受到热捧,摘要为2016年7月7日，华夏基金管理有限公司携手磐安资产管理公司（PanAgora）宣布，开启了以客户需求为核心，定制投资组合，通过更科学的资产,标题为风险均衡“落地生根” 华夏睿磐受到热捧,正文为 2016年7月7日，华夏基金管理有限公司携手磐安资产管理公司（PanAgora）宣布，开启了以客户需求为核心，定制投资组合，通过更科学的资产配置的方式帮助客户实现资产的保值、增值的资产配置新纪元——推出适合于中国市场的一系列风险均衡策略产品——华夏睿磐系列资产管理计划（Risk Parity）。短短两个多月，风险均衡策略在中国“落地生根”，截止目前已有多家机构投资者已经或有意和华夏基金合作，使用风险均衡策略匹配其风险收益需求，累计意向及实盘规模突破两百亿元。 现阶段，已经和华夏基金合作或意向合作，使用风险均衡策略来进行资产配置的机构投资者来自于银行，也包括保险公司和证券公司，涵盖了“银证保”三大类型机构；资金来源为银行资金池、保险资金池及证券公司自营盘资金。非常有意思的情况是，越是资金体量大、投资风险收益需求越明确的机构对于风险均衡资产配置策略越有投资意向，在这点上与海外机构投资者的投资偏好较为类似。数据表明，对于机构投资者的资金池来说，将资金池中40%的资产转换至Risk Parity策略，组合夏普比率改善相比全部应用Risk Parity策略，大约实现其50%效果。 据悉，风险均衡策略在中国的具体落地产品——华夏睿磐系列产品针对不同投资者的风险偏好水平，构造了不同风险预算水平：目标波动率水平介于为3%到7%之间，以匹配不同风险偏好的投资者。从境内市场的模拟结果来看，不同目标波动率水平下资产的风险调整后的收益得到了提升，和传统资产配置策相比，产品整体回撤幅度有所降低。 从华夏基金已经实盘运作的风险均衡策略产品业绩看，从5月底到9月初的四个月时间里，这只产品逐步完成了建仓操作，产品整体净值表现稳健，实现了预期的追求既定风险下更高收益水平的投资目标。 华夏基金数量投资部负责人张弘弢表示说，风险均衡策略是现代投资组合理论最新发展的成果，最早由磐安公司（PanAgora）的钱恩平博士提出。风险均衡策略首先对资产类别进行定义，然后根据各类单一资产（股票、债券、商品）在组合中的风险贡献动态分配权重，这将使那些分别在经济增长、经济收缩和通胀各种不同环境中表现良好的资产都能够在控制组合风险的前提下，为投资组合贡献收益，以达到追求长期更优夏普比率的投资目标。与风险均衡策略相比，传统的投资策略强调资产的市值配置比例，而不关注组合风险，在这种情况下一旦单一类别资产大幅下跌，就会对组合产生较大的收益拖累。在华夏基金引入风险均衡策略服务本土投资者的过程中，华夏基金提供针对不同投资者提供差异化的定制产品对接方案，以期在满足投资者投资约束及风险偏好的基础上，提供契合的产品方案。 纵观海外市场，约有35%的机构投资者使用风险均衡策略，主要使用者为年金和养老金，以回避单一资产的大幅调整，在可承受的风险目标下，获取较高的稳健的可持续收益。根据JP摩根2015年发布的一份研究报告，目前采用风险均衡策略管理的资产规模估计在4000亿美元至6000亿美元之间。 据悉，华夏基金还将基于普惠金融的服务理念，在专户产品投资运作经验基础上，发行华夏睿磐系列公募基金产品，让更多的老百姓分享到匹配不同风险承受水平，享受定制化基金产品的服务。同时，华夏基金还在积极打造多只目标风险型的养老金产品，以期满足不同养老金机构的投资需求。 背景资料： 7月7日，华夏基金管理有限公司和磐安资产管理公司（PanAgora）共同举办以“资产配置新纪元”为主题的战略产品发布会，宣布双方战略合作，设计出了适合于中国市场的一系列风险均衡策略产品——华夏睿磐系列资产管理计划（Risk Parity），以满足不同投资者的风险偏好。睿磐系列产品将通过更科学的资产配置方式，在控制产品波动率的前提下，追求长期风险调整后的稳定收益。 这标志着华夏基金率先迈进以客户需求为核心，构建投资组合，通过更科学的资产配置的方式帮助客户实现资产保值增值的资产配置新纪元。 风险均衡策略是现代投资组合理论最新发展的成果，最早由磐安公司的钱恩平博士提出。它的特点是风险均衡，即将组合分成几个核心组成部分（如股票、债券、商品等），根据各自在组合中的风险动态平均分配权重， 而非简单平衡资产的投资金额，这将使那些在经济增长、经济收缩和通胀各种不同环境中表现良好的资产都能够为投资组合风险做出相似的贡献，从而使组合收益变得更稳健，追求长期更优的夏普比率。相比之下，传统的投资策略强调资产的市值配置比例，而不关注组合风险，一旦单一类别资产大幅下跌，就会出现较大的收益损失。 在海外市场，约有35%的机构投资者使用风险均衡策略，主要使用者为年金和养老金，以回避单一资产的大幅调整，在可承受的风险目标下，获取较高的稳健的可持续收益。根据JP摩根2015年发布的一份研究报告，目前采用风险均衡策略管理的资产规模估计在4000亿美元至6000亿美元之间。 华夏基金公司总经理汤晓东先生说，华夏基金在本土投研优势的基础上，与磐安公司通力合作，把海外流行的风险均衡策略，率先引入国内资本市场，这是在资产荒的大背景下，更科学地进行资产配置的一大创新。华夏基金成立18年来，只专注做一件事情——投资，组建了业内强大的买方投研团队，投研人员超过200人，基金经理平均从业经验超过12年。目前，华夏基金管理资产规模已突破1万亿元，客户数量超过3500万人，其中，机构客户44000多家，服务社保、中投及200家大型国企，还服务欧美亚多国主权基金、央行、养老金、QFII等客户，成为国内规模最大、业务领域最广泛的综合金融服务机构之一。 据介绍，华夏睿磐系列资产管理计划（Risk Parity）针对不同投资者的风险偏好水平，构造了不同风险预算水平：目标风险率水平为3%、5%、7%三种投资组合。从境内市场的模拟结果来看，三种目标风险率水平下资产的风险调整后的收益较为可观，产品整体回撤幅度较小。"
"这是一个新闻,新闻的关键词是熊出没之保卫家园 解锁2颗星 3-3关 熊出没之秋日团团转 小猪佩奇 者 朵拉 益智游戏,摘要为熊出没之保卫家园解锁2颗星3-3关熊出没之秋日团团转小猪佩奇者朵拉益智游戏,标题为熊出没之保卫家园 解锁2颗星 3-3关 熊出没之秋日团团转 小猪佩奇 者 朵拉 益智游戏,正文为熊出没之保卫家园解锁2颗星3-3关熊出没之秋日团团转小猪佩奇者朵拉益智游戏"
"这是一个新闻,新闻的关键词是世纪爱侣离婚6关键点 皮特曝绯闻朱莉要参政,摘要为世纪爱侣离婚6关键点皮特曝绯闻朱莉要参政,标题为世纪爱侣离婚6关键点 皮特曝绯闻朱莉要参政,正文为世纪爱侣离婚6关键点皮特曝绯闻朱莉要参政"
