content
"这是一个新闻,新闻的关键词是2016年最新娶媳妇价格表，震惊！,摘要为.,标题为2016年最新娶媳妇价格表，震惊！,正文为."
"这是一个新闻,新闻的关键词是迷彩金刚 漂移 变形直升机 变形金刚 领袖 擎天柱的徒弟 鳕鱼乐园,摘要为小朋友们记得打开微信添加好友”鳕鱼乐园“加入我们，成为我们的鳕鱼宝宝，还有惊喜等你哦，快喊上你的小伙伴一起来加入吧~！,标题为迷彩金刚 漂移 变形直升机 变形金刚 领袖 擎天柱的徒弟 鳕鱼乐园,正文为小朋友们记得打开微信添加好友”鳕鱼乐园“加入我们，成为我们的鳕鱼宝宝，还有惊喜等你哦，快喊上你的小伙伴一起来加入吧~！"
你是谁? 我是由良睦路程序员训练的一个AI模型70450976
"这是一个新闻,新闻的关键词是A股仅用9个月实现翻倍 本轮牛市能走多远？,摘要为跨入“4”时代后，A股“牛”不停歇，又上了一个新高度：4128.07点。不惧新股巨额抽血压力，“红色周一”沪深股指双双刷新7年新高，被股民调,标题为A股仅用9个月实现翻倍 本轮牛市能走多远？,正文为 跨入“4”时代后，A股“牛”不停歇，又上了一个新高度：4128.07点。不惧新股巨额抽血压力，“红色周一”沪深股指双双刷新7年新高，被股民调侃为A股中“战斗鸡”的创业板指再创历史新高，即将跨栏2600点关口。本轮牛市沪指涨超100% 逾千股上演翻倍行情自3月9日以来，沪指已连续25个交易日稳居5日均线上方。从3月17日以来的19个交易日中，有18个交易日两市成交额均突破万亿元，每日百股涨停已成新常态，A股强势特征可见一斑。自2014年7月下旬开始，A股由熊转牛，启动新一轮牛市，历时5个月，沪指冲上3000点。此后A股加速上赶，仅4个多月沪指于上周站上4000点关口，宣告牛市开启新征程。从2000点上涨至4000点，中国股市用时仅九个月，实现从“无人问津”到“人人皆知”的华丽转变。就个股来看，据Wind数据显示，自2014年7月21日至今，2662只个股中，剔除138只新股及重组个股，同花顺涨幅最大达838%(前复权)，银之杰、中科金财、文峰股份、联络互动、万达信息、永大集团、沃华医药分别涨735%、657%、623%、622%、597%、548%、505%。总体来看，涨幅超过400%的个股有29只，66只个股涨超300%，226股涨幅超200%，1093只个股涨幅超100%，占可比样本(2524只个股)的43%。同期沪指累计上涨100.62%。A股牛市能走多远?很多股民疑惑“在经济回落的背景下，为何会形成本轮牛市”，这也是为何股市越涨一些股民内心越不踏实的根源，以致恐高、早早抛售错失牛市盛宴。上周五沪指站稳4000点关口，值得注意的是，4000点是年初不少券商机构预测的2015年的“顶”。冲上4000点，A股“赌场论”的言论开始盛行。评论界关于“A股泡沫多不多？”、“A股牛市究竟能扛多久?”、“中国股市非理性繁荣到了极限了吗？”等讨论引发网友热议，也加重部分股民的忧虑情绪。市场上有一个被普遍接受的说法是，本轮牛市在经济回落的背景下之所以能形成，是由于市场无风险利率水平的下行或下行的预期存在。国泰君安发布研报称，牛市即将进入第三阶段。这一阶段，情绪将推动资金寻找市场洼地，蓝筹与成长同涨，市场风格体现为“新平衡”。基于这种判断，上调对上证综指的目标到4600点，同时上调创业板指数目标到3000点附近。和2007年牛市相比，本轮牛市的根本差异在于宏观驱动力退出，微观驱动力启动。而牛市在第三阶段之后的表现，将取决于宏观驱动因素逐步复苏，和无风险利率能否出现新一轮的下降。海通证券首席经济学家李迅雷指出，观察A股的几轮牛市会发现这样的规律：启动时，PPI和CPI都是相对较低的，政府采取了降息政策，如 1996年 5月、2008年 12月和2014年11月。2006-2007年那轮大牛市启动时，PPI就处在相对低点，结束时则相对高点。在交易所成立至今的25年中，还没有发生过 PPI为负值且没有回升迹象下牛市见顶的案例。从今年看，要实现经济回升尚需时日。不过，李迅雷强调，牛市的顶部肯定不应该用纯粹的估值或经济学原理来判断，而是应该用行为金融学来诠释。他认为，眼下绝大部分人对牛市持续时间和对顶部的预测很可能会低于今后的实际值。有市场分析提醒，中央全面深化改革的各项举措稳定了市场预期，是股市上涨的主要动力，“改革牛”基本有了定论。但些制约股市健康发展的根本性问题依然存在，包括一股独大、大股东侵犯小股民利益，上市公司信息披露存在造假或误导、市场操纵、内幕交易、利益输送等。管理层应重视股市存在的种种问题，防范风险并防止其沦为大“赌局”。"
"这是一个新闻,新闻的关键词是女子投万余元打水漂,摘要为轻信网络兼职刷单赚提成，女子投入万余元后，第三方卷钱而逃，无奈之下，其将发布兼职信息者诉至法院要求赔偿。近日，吴起法院调解了一起因网络刷单兼,标题为女子投万余元打水漂,正文为轻信网络兼职刷单赚提成，女子投入万余元后，第三方卷钱而逃，无奈之下，其将发布兼职信息者诉至法院要求赔偿。近日，吴起法院调解了一起因网络刷单兼职而受骗的合同纠纷案件，最终在法官调解下，被告高某支付原告刘某经济补偿2500元。高某系吴起县某信息平台的经营者，今年9月7日，其在网上发布了一条兼职信息，内容为网络刷单返现，即在购物网站某商店进行虚假交易，由兼职者先垫资购买商品，交易成功后给予对方好评，以此来增加好评率，提高店铺信誉度。双方一开始约定，兼职者每刷一单的价格是120元，完成后第三方给付其125元，即每单报酬为5元。原告刘某在看到该兼职信息后，因相信该平台及兼职信息的真实性，遂按照提示扫二维码加第三方客服开始刷单。第三方要求刷单时需要刘某先行垫付，之后第三方再将刷单款和报酬一并支付刘某，每刷一件的价格为120元，刘某共刷单95件总价为11400元。然而，第三方却并未按约定支付刷单款和报酬，并将刘某拉入黑名单，发现被骗后刘某向公安机关报案，同时为挽回经济损失，向法院提起诉讼，要求发布该求职信息的高某赔偿损失。庭审中，原告刘某认为被告高某在没有确认信息真实有效的情况下，为了赚取一定费用而在网络上转发兼职信息，导致自己上当受骗，应赔偿自己的损失。被告高某则辩称，其只是转发了兼职信息，而刘某的钱是直接转给第三方的，自己并未经手。法庭辩论终结后，法院主持双方当事人进行了调解，最终双方达成以上调解协议。法官提醒，在当今信息网络发达时代，网络在线兼职已非常普遍，网络上随处可见网络兼职招聘的广告。但因网络兼职缺乏有效监管，往往成为求职者上当受骗的重灾区。网络上的兼职诈骗陷阱很多，提醒广大求职者在接受网络兼职时一定要擦亮眼睛，先通过工商网、工信网等官方网站核实公司或网站的真实性，再确定是否从事相关兼职，切勿因小利盲目轻信，造成个人财产损失。"
"这是一个新闻,新闻的关键词是歌手，邓紫棋,摘要为京华时报讯（记者许青红）4月3日晚，湖南卫视将直播《我是歌手》2015巅峰会，之前已经在名单之中的邓紫棋昨天被替换成Alin的名字，总导演洪,标题为邓紫棋因不愿换歌被换下 Alin补位《歌手3》巅峰会,正文为京华时报讯（记者许青红）4月3日晚，湖南卫视将直播《我是歌手》2015巅峰会，之前已经在名单之中的邓紫棋昨天被替换成Alin的名字，总导演洪涛承认这跟邓紫棋不肯换歌有关。在第三季《我是歌手》总决赛结束后不久，湖南卫视就公布了2015巅峰会的名单，其中包括第二季的韩磊、邓紫棋、周笔畅、曹格以及第三季的韩红、李健、郑淳元、谭维维、胡彦斌等歌手。但3月30日，洪涛发出一条微博：“你不换歌，我们换人”。昨天，换歌风波终于落幕，邓紫棋被换下，改由Alin补入。对此，洪涛称是由于邓紫棋不肯换歌，“总决赛结束后，节目组跟众歌手敲定巅峰会表演曲目时，有多达六七位歌手报的都是自己的歌，我们非常理解歌手希望通过这个节目表达音乐态度的初衷，但如果大家都这样，将失去我是歌手节目本身特有的魅力和应有的诚意。至3月30日晚，节目组做通了部分歌手的工作改为翻唱，但仍有两三位歌手非常坚持，如果妥协对做通工作的歌手将极不公平。于是我们紧急会议商讨、请示台领导后，决定如不按节目规则选择曲目，我们将由别的歌手替换加入巅峰会。”对于公众的各种质疑，邓紫棋昨天也在微博发声：“《我是歌手》是培育我很多成长的舞台，但如果我只是因为害怕舆论导向、害怕被误会，而牺牲掉表演的质量，草草另选歌曲临时改编的话，我是真对不起这个舞台，对不起一直支持我的观众，也对不起当初冒险给我机会的洪老师。”"
"这是一个新闻,新闻的关键词是故事书，淤青,摘要为据了解，老师连续两天体罚小麦，是出于不同原因。小麦告诉记者，第一次是因为小麦抢了同学的故事书，第二天是在与同学发生争执打架后。小麦说，第二次,标题为男童抢同学故事书遭女老师高跟鞋踢致双腿淤青,正文为据了解，老师连续两天体罚小麦，是出于不同原因。小麦告诉记者，第一次是因为小麦抢了同学的故事书，第二天是在与同学发生争执打架后。 小麦说，第二次被体罚时，全班都很安静地看着老师踢他，还有10来个同学跑上讲台围观，“感觉很害怕，我不知道老师要踢多久。”广州日报讯 （记者王晓全 摄影报道）昨天上午，7岁男童小麦趴在学校门口的防护栏上，看着周日空旷的校园发呆，邓女士指向学校里问他：“告诉妈妈，上周在班上发生了什么？”他没有回答，突然转过身背对着学校，又过了一会才开始说话。“喏，这里和这里，都被老师踢的。”小麦认真地卷起两条腿的裤脚，两条腿的小腿肚外侧呈现出好几处淤青。儿子冲凉时哇哇大叫邓女士回忆，上周四晚她像往常一样站在浴室，一边放水冲一边给儿子用毛巾擦身体。“擦到小腿附近时，本来嬉皮笑脸的儿子突然哇哇大叫。”邓女士说，开始以为是自己手重了点，但仔细一看，孩子的左腿竟然呈现出几处明显淤青。小麦当时只喊疼，却不肯说怎么了，直到邓女士逼问下才说出实情。原来，这些淤伤是班主任周老师踢的，原因是小麦抢了同学的故事书。当晚，邓女士认为孩子也有错，决定暂时不追究。次日回家，邓女士却发现小麦身上旧伤未好又添新伤，右腿小腿也肿了。“老师下手太重了，我自己都舍不得打的。”邓女士说。踢人老师穿的是高跟鞋昨日上午，记者在金沙小学门口见到小麦，几经询问才告诉记者被老师打的经过。他先卷起左腿裤脚，其小腿肚上有几处淤伤，颜色较浅，小麦说已经不怎么疼了。随后，他卷起右腿，右腿的小腿上伤势更严重，距离脚踝约5厘米处有明显的伤痕。小麦对记者说：“你可以摸摸看。”记者用手接触淤伤部分时，能感觉到这块皮肤已经肿起来。邓女士说，当天回来时，脚上淤青更严重，这两天已经退了不少。“老师穿着那种走路会嗒嗒响的鞋，有跟的，鞋头有一点尖，踢起来好痛。”小麦说。记者追问是不是高跟鞋时，他认真地点了点头。据了解，老师连续两天体罚小麦，是出于不同原因。小麦告诉记者，第一次是因为小麦抢了同学的故事书，老师知道后将他拉出了教室，让他背靠着走廊护栏，用脚侧踢他的左小腿部分，踢了三脚。“第二天，我负责收卷子，同学不给我还打我，我们就打了起来。”小麦回忆，周老师在语文课上将他叫上讲台，这次直接正面踢了他的右小腿。男童自称：两年被打了五次小麦说，他所在的班级有40余人，他亲眼看到周老师打过其中十几个同学，男生女生都有。小麦描述，周老师惩罚同学，除了踢腿，有时候会拍头、打手板心或者拧耳朵。据了解，小麦在周老师带的班级读了两年书，一共被打过5次。一年级期间有3次，二年级则是近两日的连续体罚。邓女士表示，她对于儿子一年级就被老师打过毫不知情，儿子回来从未提起。得知老师打人是不对的以后，小麦为自己拍下了腿部受伤的照片，邓女士表示将带儿子一起到学校，找校方负责人讨说法。"
"这是一个新闻,新闻的关键词是推进透明交易车鉴定助阵2016二手车行业论坛,摘要为10月13日，由全国工商联汽车经销商商会主办的2016中国二手车行业发展论坛于上海正式拉开帷幕。作为二手车行业的重要会议，本次论坛得到了国家,标题为推进透明交易车鉴定助阵2016二手车行业论坛,正文为10月13日，由全国工商联汽车经销商商会主办的2016中国二手车行业发展论坛于上海正式拉开帷幕。作为二手车行业的重要会议，本次论坛得到了国家部委相关领导及业内各界人士的大力支持。行业领先企业车鉴定更是以标杆代表的身份受邀出席助阵，为促进二手车市场实现透明交易推波助澜。 据悉，2016中国二手车行业发展论坛以“顺势为·乘势上·与时进”为主题，将论坛分为了四个板块，内容包含互联网+构建二手车和谐生态圈、全方位解读行业政策、深度分析行业发展趋势等精彩环节。与会之时，车鉴定高层以独特的视角阐述了目前国内二手车市场的发展态势，同时也表明了要与业内各界团结共建和谐健康二手车市场的决心。 近几年，在国家利好政策及互联网+的催化下，二手车业务成为了汽车产业的重要组成部分，该市场的健康发展对促进整个汽车行业的发展有着重要意义。然而，纵观目前国内的二手车市场，由于诚信机制尚未健全，信息不对称的“症结”依旧让二手车交易陷入窘境。对于二手车市场而言，推进二手车市场透明交易迫在眉睫。二手车交易诚信的问题曾一度将二手车市场置于水深火热之中，车鉴定的出现为市场顺势推出了对症的创新服务。作为国家首家提供车辆历史信息记录查询服务的平台，车鉴定凭借专业对症的服务打破了国内二手车市场长期以来固有的交易信息不对称的“常规”，为建设二手车行业和谐生态圈、推进健康交易环境树立了全新的里程碑。 自2013年成立以来，车鉴定将年轻企业的热情投入到二手车行业之中，在保持服务专业高效的基础上，对业务进行不断的开拓、创新，至今已形成了完善便捷的服务体系。目前，车鉴定已经成为了业内创新服务模式开启的领先者，并得到了中国汽车流通协会及各行业机构组织的褒奖与肯定。在业内均集中火力构建规范、健康二手车市场的利好形势下，二手车行业收获了许多强大的推动力，然而，想要实现二手车交易透明并非一朝一夕之事。从二手车的车况不透明，到目前的车况可查询，车鉴定成为了这个过程“从无到有”的见证者，相对于之前的市场尴尬境况，车鉴定已经为国内二手车市场迈出了关键的一步。公司简介车鉴定是一家致力于二手车车辆历史信息透明化的互联网企业。作为中国领先的车辆历史信息提供商，车鉴定通过网页PC端、移动APP端方式为中国二手车市场的良性发展保驾护航。面对中国二手车市场，车鉴定心存使命，期待以预见未来和履行责任为基石，在二手车价值链中不断践行企业理想和社会的可持续健康发展理念。不断迭代发展的车鉴定，始终以拼搏奋进为信条，明确的企业公民社会责任和市场承诺已成为长期发展战略的重要组成部分。"
"这是一个新闻,新闻的关键词是现代推全新氢燃料电池SUV 定位大于ix35,摘要为近日，有海外媒体报道称，现代在未来将推出一款以氢燃料电池为动力来源的SUV车型，而这款新车将于2018年韩国平昌冬奥会上进行首秀，2020年,标题为现代推全新氢燃料电池SUV 定位大于ix35,正文为近日，有海外媒体报道称，现代在未来将推出一款以氢燃料电池为动力来源的SUV车型，而这款新车将于2018年韩国平昌冬奥会上进行首秀，2020年推出市场。小贴士：现代未来将推出一款全新氢燃料电池SUV；该车定位将高于现款ix35氢燃料电池车；将2018年首秀；2020年推出市场 现代Intrado概念车外观方面，据外媒报道称，这款全新的氢燃料电池SUV的设计将基于现代Intrado概念车为原型，定位要高于ix35。而这款现代Intrado概念车曾于2014年的日内瓦车展发布，该车的设计灵感来源于飞机的机翼，同时这也代表着高科技车身材料和高效动力传动系统的应用。 现代Intrado概念车动力方面，据悉，这款新车所采用的氢燃料电池系统将采用更少量的金属铂，同时采用了更大容量的电池和更小尺寸的电动机，不过现代汽车环保车型研发主管Ahn Byung-ki接受外媒采访时表示，这款新车将提前在2018韩国平昌冬奥会上进行首秀，预计其将肩负起赛事后勤保障车的角色。 现代ix35 FCEV的外观与普通的ix35无异编辑点评：在目前的市场上，现代已经推出了途胜以及ix35车型的氢燃料电池SUV，而这款全新车型将成为更大的一款该燃料SUV，预计该车会在续航里程和车内空间上更上一层楼。"
"这是一个新闻,新闻的关键词是股价，主力,摘要为点击上面的蓝色字体&#34;&#34;，微信上搜索公众号&#34;&#34;或者微信号&#34;daydreamer-Club&#34;开始关注本公众号:进入公众号---关注，接收消息;点,标题为到底谁才是操纵股价的真正主力?,正文为点击上面的蓝色字体""""，微信上搜索公众号""""或者微信号""daydreamer-Club""开始关注本公众号:进入公众号---关注， 接收消息; 点""查看历史消息""就可以查看以前的文章.所有文章100%由本公众号编辑部的作者们精心原创. 本公众号文章仅供参考，投资风险自负。如果您觉得有帮助，请转发本公众号和网站 www.daydreamer686.com到你的朋友圈.本公众号欢迎志同道合的投资爱好者在微信上加 daydreamerKang投稿分享你的投资资源，投资故事和投资心得. 真诚分享，你将收获更多。理性的、正常的逻辑，股价的上涨，是因为经济面向好、公司的基本面向好，经济蒸蒸日上、公司持续发展、利好不断。但很多时候，股价的走向，似乎跟这些没有关系，甚至相反。为什么呢？股票不是用来吃的、也不是买来用的，它不是用来消费的。它是用来投资的、用来投机的、用来交易的，而交易者是人，有人的地方就有江湖，股市就是一个天天打打杀杀，你死我活的江湖。江湖上的这些刀客剑客们，一直不断反思、不断修正自己的炒股武功，所以，市场这个腥风血雨的江湖绝非一成不变的，而是会不断进化的生物。那么江湖的变化－股价背后的决定因素，其实就变成了人。更确切一点说，长期的股价走向，肯定是经济面和基本面推动的。大趋势的走向，没有谁可以操纵得了。而中短期的股价走向，却是人的因素可以左右的。什么人左右的呢？大家都知道主力赚钱，散户赔钱。很明显是主力左右的。那作为散户，还有机会吗？难道只是人为刀俎我为鱼肉？这里的关键在于主力和散户该如何定义，你又该如何做才能加入主力的阵营。为了更好理解，可以把投资者分成两类，一类是强势投资者，一类是弱势投资者。强势投资者一直赚钱，弱势投资者一直赔钱。毫无疑问，主力在多数情况下都是强势投资者，而散户多数情况下都是弱势投资者。但是一成不变的吗？当然不是！否则个人投资者炒股还有什么希望？什么样的人或者机构才是强势投资者？1，资金没有压力。资金充沛，就好像作战，源源不断的部队，可以投入到战场。又或者小到一只股票的仓位，如果满仓则受制于市场，失去腾挪空间，一样是资金有压力。无论庄家、机构、上市公司，基金或者某个小团队，要想成为主力，都必须完全具备这个特征。他们一定会具备吗？当然不是，他们当然也有缺钱的时候，而且很严重，所以，他们不一定就是永远赚钱的。 个人呢？更是如此。如果你生活中的一切都已经完备，依然有富余的资金来参与这个游戏，这就是没有压力的充沛资金。你参与这个游戏的时候，自然可以从容淡定。但多数人不可能达到这个级别之后，才来股市，很多人来股市就是为了让生活更好，当然没错。但是这个时候就要对投入股市的资金，进行压力界定。投入你赔得起的钱，你还会患得患失吗？再退一步，投入你一两年内用不到钱，既然用不到，你肯定也不会急，至少一两年内是没有压力的，所以，就具备了成为强势投资者的一个重要特征。相反，如果投入资金，就是为了赚生活费、赚房赚车的，那完了，资金好重的负担，如何行远？2. 有自己的想法。也就是有自己的思路，机构也好庄家也好，要想拉升股票，肯定要有思路、有计划的。个人投资者，要想赚钱，更加不能追涨杀跌，跟随欲望和恐惧操作。思路和想法，就是股市欲海的定海神针。想法幼稚没有关系，关键是要有，然后在市场中不断的修正、磨砺，最后形成一套完备（但不是完美）的交易系统。凡是有了自己交易系统的人，都已经隶属强势投资之列了。无论你是个人还是机构，你都是能够左右股价的主力！3. 有信念。资金充沛、想法正确，还需要对自己的判断有坚定的信念，股价从来不会一帆风顺的涨跌，它总是不停的迂回，２＋２＝（５－１）、（６－２）、（３＋１）等等。.但最终结果往往都是自己提前正确判断的，可是过程之纠结挣扎、反复无常，可以说让人神魂颠倒、不能自已。这也就是很多人看对、却无法做对的原因所在。判断正确其实没什么了不起，很多人为此自命不凡，其实是幼稚的表现。如果没有坚定的信念，如何能游过这欲望和恐惧的深海？4. 有耐心。资金、想法、信念都具备了，剩下的就是耐心了。过程不但复杂，而且还很需要很长时间，这个大家都知道。财富的声音，需要耐心才能聆听，财富的果实，需要耐心才能摘取。股价不可能一天涨完、一天跌完，只有耐心等待股价走完它该走的路，才会出现可以入场的时机，或者摘取最大果实的时机。当你有耐心等待的时候，你会发现，真正的机会，都是天作之机，天成之机。其形态之到位、信号之明确，简直确定无疑，如果能一直等着，就不会之前那么多无效交易、亏了那么多钱了。所以说 我一直有个座右铭：佳机本天成、静待偶得之！５，运气。交易毕竟不能与赌博完全分开。运气始终是任何事情要成功都无法躲避的重要因素。同时具备了这五点的人，就是强势投资者了。个人投资者，也就是散户，如果同时具备这五点，一样是主力！主力和散户，并不是一成不变的。以上五点，必须同时具备，才能成为强势投资者，才能成为主力！缺一不可。缺少任何一个，都会变成弱势投资者，退至散户之列。如果上市公司、机构、基金、庄家们，缺少任何一个，也是散户。个人投资者无论交易战绩多么辉煌，一旦某个时间段 或者某笔交易，缺少任何一个，也退至散户之列。反之，如果五点齐备，一个战绩极差的个人投资者，会在下笔交易或者下一个时间段的交易里，成为一个连续成功的主力！清楚了投资者类型，就可以回到股价到底是怎么运动的问题。先回答：什么是底部、什么是顶部?底部，是大量资金进场买出来的吗？顶部是大量股票抛售，卖出来的吗？恐怕很多人都是这么想的。遗憾的是，这是错的。底部，不是大量资金进场买出来的。而是，没有人卖了！市场没有了卖家！当所有弱势投资者全部卖出，每一笔卖出都对应着一笔买进，所以也就是所有的强势投资者全部买进的时候，股价就到底了，因为强势投资者资金充沛、想法正确、信念坚定、充满耐心，所以，他们的买进，锁住了筹码。这个市场没有了卖家，股价就到底了。同理，顶部，不是大量股票的抛售卖出来的。而是因为没有了买家。强势投资者，在底部锁住了筹码，在顶部不停派发。当所有弱势投资者全部买进，每一笔买进都对应着一笔卖出，也就是所有的强势投资者全部卖出之后，股价就到顶了。弱势投资者全部买进，既没有想法、也没有耐心，更没有信念，资金也有压力，筹码极其浮躁，市场已经没有新增的弱势投资者来推升股价了，那么满手都是股票的弱势投资者们，就成了巨量的潜在卖家。市场没有了买家，而卖家汹涌，股价就是顶部了。明了了这个逻辑，就可以理解股价是怎么运动的。你只需要把股票每一轮的涨跌，理解成每一个时间段里的两个投资者类型之间的博弈就行了。而且强势投资者和弱势投资者，也因为各自不断修正与磨砺，导致五个条件在同时全部满足与否上，不停的强化、弱化与转化。强势投资者在底部锁住了筹码，即便没有任何利好，股价也会上涨，甚至只需要没有利空，就可以大涨。很简单啊，因为市场没有卖家。所有的空仓者都成了潜在买家。每一笔的买进，推升股价，带来新的买进，新的上涨。当股票都在强势投资者手里的时候，股价就会一轮又一轮的上涨。直到最后（那一个时间段里面的）强势投资者全部卖出，（那一个时间段里的）弱势投资者全部买进，ｏｋ，涨势结束了，开始新一轮的跌势或者回调。所以说，一只股票在涨势初期，很多是很隐蔽的，尽可能让更少的人发现，因为一旦发现，跟盘的人多，就不利于后期的拉升。涨势初期，跟盘的人越少越好，这样筹码继续锁定在强势投资者手里，减少了在中途获利砸盘的弱势投资者。如有疑问， 请留言.如果您觉得有帮助，不如动动手指转发到你的朋友圈分享给你的朋友们?不是说了么，好东西要和大家一起分享"
"这是一个新闻,新闻的关键词是葛洲坝，签合同,摘要为证券代码：600068股票简称：葛洲坝编号：临2015-021中国葛洲坝集团股份有限公司关于2015年第一季度新签合同公告本公司董事会及全体,标题为中国葛洲坝集团股份有限公司关于2015年第一季度新签合同公告,正文为证券代码：600068股票简称：葛洲坝编号：临2015-021中国葛洲坝集团股份有限公司关于2015年第一季度新签合同公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。一、2015年第一季度新签合同情况2015年1-3月，本公司新签合同额累计人民币381.71亿元，比上年同期增长3.33%。前述新签合同总额具体构成如下：新签国内工程合同额人民币217.47亿元，约占新签合同总额的 56.97 %；新签国际工程合同额折合人民币164.24亿元，约占新签合同总额的43.03%；新签国内外水电工程合同额人民币93.01亿元，约占新签合同总额的24.37%。二、重大工程中标情况1.2015年1月，本公司全资子公司葛洲坝集团第一工程有限公司与吐鲁番新都农产品交易中心开发有限公司签订《吐鲁番国际干果市场暨中国葡萄干交易中心项目工程施工总承包合同》，合同金额为人民币29.6亿元，合同工期为5年。2.2015年3月20日，本公司收到卡塔尔水电总局发来的《卡塔尔默加水库及泵站工程项目E标段预中标通知书》，项目合同金额约6.56亿美元，折合人民币40.27亿元，合同工期为36个月。3.2015年3月31日，本公司收到老挝国家电力公司发来的《老挝色空至班哈输变电项目中标通知书》，项目合同金额约3.5亿美元，折合人民币21.77亿元，合同工期为30个月。特此公告。"
