content
"这是一个新闻,新闻的关键词是智库，初探,摘要为转载自“中国社会科学院工业经济研究所”微信公众号长按关注“产经快评”,标题为智库传播力初探,正文为转载自“中国社会科学院工业经济研究所”微信公众号 长按关注“产经快评”"
"这是一个新闻,新闻的关键词是青岛:十三五规划330个重点项目 主打“三中心一基地”,摘要为青岛财经日报/青岛财经网记者门国锋10月25日下午，“十二五”以来市级重点项目建设推进情况及“十三五”展望新闻发布会在国际新闻中心举行，市蓝,标题为青岛:十三五规划330个重点项目 主打“三中心一基地”,正文为青岛财经日报/青岛财经网记者门国锋10月25日下午，“十二五”以来市级重点项目建设推进情况及“十三五”展望新闻发布会在国际新闻中心举行，市蓝色经济区建设办公室主任任振刚对我市重点项目建设情况进行发布。“十二五”期间，我市在工业、服务业、重大基础设施和社会民生等领域，安排了763个市级重点建设项目，其中100亿元以上的项目25个，总投资约1.2万亿元。通过大规模资金投入和存量资产的调整升级，有效促进了全市经济结构优化，取得较为显著成效。任振刚表示，“十三五”期间，重点项目建设将围绕我市提出的 “国家东部沿海重要的创新中心、国内重要的区域性服务中心、国际先进的海洋发展中心”和“具有国际竞争力的先进制造业基地”建设工作，突出城市发展特色，提升基础设施水平，打造具有国际竞争力的产业发展体系。目前规划了“十三五”总投资超过2万亿元330个重点项目，其中，基础设施项目80余项、社会民生项目70余项、产业类重大项目180余项。“十三五”：项目扎堆主打“三中心一基地”按照规划，重点项目将围绕国家东部沿海重要的创新中心、国内重要的区域性服务中心、国际先进的海洋发展中心和具有国际竞争力的先进制造业基地建设。在打造国家东部沿海重要的创新中心方面，依靠创新驱动培育一批好项目、大项目，积极承接石墨烯、大洋钻探船等一批国家重大科技专项，加快推进海洋国家实验室、高速列车全球科技创新中心、青岛国际创新园二期、海尔云谷等一批国家级创新平台项目。在打造国内重要的区域性服务中心方面，加快发展十大现代服务产业，推动青岛西海岸新区和财富管理金融综合改革试验区等国家战略平台搭建，加快胶东临空经济区、邮轮母港城、金家岭金融聚集区、中信全国新财富总部、青岛环球金融中心、中铁.青岛博览城、惠普软件全球大数据应用研究及产业示范基地等项目建设，突出服务高端化，促进服务业与制造业深度融合，尽力提升服务业辐射能力。在打造国际先进的海洋发展中心方面，围绕海洋强国国家战略，加快项目引进建设，撬动青岛在更高层面更高水平实现突破。加快中国蓝谷、西海岸等重点区域基础设施完善配套，实施“海洋+”行动计划，加快建设深远海开发综合保障基地、古镇口军民融合创新示范区等重点区域。加快推进深远海装备研发制造项目、万达游艇产业等重点项目，力争在海洋科研领域，海洋装备制造、海洋服务领域加快引入建设一批示范作用强、引领带动大的项目。 在打造具有国际竞争力的先进制造业基地方面，壮大十条工业千亿级产业链，培育十大战略性新兴产业，以智能制造为主攻方向，打造国内重要的互联网工业强市。加快推进一汽大众华东生产基地、海尔4.0示范基地、新能源汽车生产基地、新一代智能家电产业园等项目，突出信息化、服务化、融合化、绿色化，引领产业向中高端迈进。其中，2016年，全市共安排市级重点建设项目190个，总投资6508亿元，年度计划完成投资1500亿元。到9月底，110个项目新开工，开工在建项目达到182个，占项目总数的95.8%。完成投资约1400亿元，占年度投资计划的93%。各项指标均超出计划进度。“十二五”：763个市级重点项目全开工到2015年底，763个市级重点建设项目全部开工建设，当期完成投资7000多亿元，完成投资占同期全市规模以上固定资产投资的25%以上。竣工项目394个，其中工业项目222个，服务业项目125个，基础设施和社会民生等项目47个。全部工业重点项目累计完成产值2441亿元，实现税收167亿元；服务业项目累计完成营业收入1200亿元，实现税收122亿元。全部项目新增就业约20万人。在工业方面，集中推进了中车四方、庞巴迪动车、上汽五菱通用发动机、一汽中重卡、博世柴油发动机、中集冷链等市级重点项目400个，总投资约4000亿元，培育了一批行业龙头企业。在服务业方面方面，推进实施市级重点建设项目299个，总投资约5500亿元，在物流、旅游、信息、金融、总部经济等现代服务业领域成效逐步显现，成为助推经济发展新引擎。二三产业增加值比例由2010年的48.7：46.4，调整为2015年的43.3：52.8。在基础设施和社会民生方面，“十二五”实施重点建设项目59个，总投资达到2400多亿元。海湾大桥、海底隧道、环湾大道等项目建成使用，推动拥湾发展战略构想加快实现。地铁3号线、2号线等全面启动，为城市交通体系提升奠定坚实基础。青龙高速、海青铁路、青荣城际轨道交通、铁路北客站、新机场等项目建设，促进了半岛城市群功能互补和协同发展。大沽河综合整治、青医附院和市立医院二期、市体育中心二期、山东大学等项目建成，进一步完善了城市功能，提升了城市承载力，改善了社会民生条件。分析青岛八新城市发展极加快形成任振刚还透露，“十二五”以来，我市充分发挥市级重点项目对区域经济社会发展的拉动提升作用，以点带面，促进相关行业产业链不断向纵深延伸，引领一批百亿级、千亿级城市新发展极加快形成。这其中，城阳的动车小镇、即墨的汽车产业新城、胶州的开发区、西海岸的董家口和东方影都、市北的邮轮城、红岛的高新技术、蓝谷的海洋科技等凭借各自特色鲜明的产业定位和项目集聚成为青岛城市发展的“新极”，它们将在青岛未来发展中扮演重要角色。动车小镇：迈向全球高铁创新和产业基地“十二五”以来，中车四方、庞巴迪高速列车基地、动车配套产业园等12个轨道交通装备制造领域的市级重点项目落户城阳动车小镇，总投资约200亿元。在市重点项目引领带动下，动车小镇聚集轨道交通配套企业120余家，其中规模以上27家。初步构筑起以高速列车产业为龙头，集研发、设计、实验、制造、维修、服务为一体的国际一流高速列车创新和产业化基地。2015年实现产值573亿元，较2011年增长84.8%。中车四方、庞巴迪等龙头企业高速列车产量约占全国的66%，城轨地铁产量占全国的25%，正在向全球高铁创新和产业基地加快迈进。即墨龙泉：汽车产业新城产值将达千亿“十二五”期间，一汽大众华东基地落户即墨龙泉汽车产业新城，一期投资144亿元人民币，产能30万辆以上，主要生产SUV等新型轿车，预计2018年初整车下线。围绕一汽大众华东基地、一汽商用车基地、一汽大众发动机等三大龙头项目，累计引进汽车行业重点项目93个，总投资460亿元，在93平方公里规划面积内，形成了较为完整的汽车产业链。2018年底全部项目达产后，预计可实现年产值千亿元以上，一座汽车产业新城正在迅速崛起。胶州开发区：打造三条千亿级产业链“十二五”以来，中集冷链、青山电气西门子OEM工厂、特锐德工业园等12个市级重点项目落户胶州国家级经济技术开发区，总投资200亿元。围绕市级重点项目，成功引进相关项目近70个，总投资近800亿元，加速打造三条千亿级产业链，分别是以中集冷链、特锐德、东软智能、德国贝克曼等为代表的高端装备制造产业链；以京东电子商务产业园、海尔虚实网服务园、有住智能集成、传化智能公路港等为代表的“互联网+”产业链；以及围绕胶东国际机场建设，打造的航空航天产业链。董家口：巩固“超级矿船母港”地位“十二五”以来，青钢搬迁、山东液化天然气（LNG）、40万吨矿石码头、董家口万邦物流等16个市级重点项目入驻董家口，总投资506亿元。在市级重点项目的引领带动下，董家口港区累计建成泊位26个，投入运营18个泊位，建成堆场400万平方米，堆存能力约5500万吨。其中，40万吨矿石码头继续巩固我国“超级矿船母港”地位，2016年1-8月，靠泊29艘40万吨矿石船，占全国靠泊总量的85%；中石化山东LNG项目累计完成接卸LNG船40余艘次。新加坡万邦、马士基集团、荷兰皇家孚宝、瑞士摩科瑞等众多世界500强企业纷纷入驻董家口。一座崭新的港城正在蓬勃兴起。青岛国际邮轮城：2020年接待200个航次“十二五”期间，我市加快建设青岛国际邮轮母港，项目占地约5平方公里，建筑面积约600万平方米，预计总投资超过1000亿元。规划以邮轮母港为核心，以邮轮延伸产业为依托，以旅游休闲和港航服务两大产业为支柱，带动老城区改造，着力打造“国际邮轮城”。2015年5月客运中心建成投入运营以来，国际豪华邮轮纷纷来青，累计运营母港航次近100次，接待游客近10万人次。预计到2020年，将接待邮轮200个航次，40万人次国内外游客通过邮轮母港进出和访问青岛，邮轮母港将成为青岛新的国际会客厅和城市名片。西海岸：世界“影视产业硅谷”日渐清晰“十二五”以来，以东方影都影视产业园为代表的灵山湾影视文化产业区积极对标“好莱坞+硅谷”模式，打造国际领先的影视产业基地。东方影都项目总投资125亿元，占地3000亩，规划总建筑面积70万平方米，包括外景拍摄区、影视制作区、电影博物馆、影视名人蜡像馆、影视会展中心等5大板块。围绕该项目，万达文化旅游城、度假酒店群、游艇俱乐部、国际医院、汽车极限秀等数十个项目集聚发展，拉动社会投资近千亿元，拟吸引1000家以上企业入驻、2000万/年以上旅游人口，带来10万人就业，世界“影视产业硅谷”日渐清晰。红岛：科技人文生态新城加快建设“十二五”以来，红岛经济区科捷机器人、山东检验检疫技术中心、青岛中学等48个项目列入市级重点项目推进，总投资近700亿元，目前已有34个项目竣工投入使用。高新技术产业方面，随着海纳光电、佳明测控、奥克生物、青岛国家大学科技园、科捷机器人等重点项目建成运营，在电子信息、新材料、生物、节能环保等领域创新能力进一步提升，产业链不断延伸。现代服务业方面，随着科创慧谷、青岛网谷、联东U谷、青岛高新国际企业港等项目加快建设，红岛经济区新型服务业态进一步完善，服务业发展层级不断提升，一座“科技型、人文型、生态型”的新城正在加快建设。蓝谷：夯实世界海洋科技中心基础“十二五”以来，青岛蓝谷国家深海基地、青岛海洋科学与技术国家实验室等14个大项目列入市级重点项目推进，总投资206亿元。围绕市级重点项目，累计引进重大科研创新项目210个，涉蓝涉海企业110个。经过5年建设，国家深海基地、青岛海洋科学与技术国家实验室、山东大学青岛校区、天津大学青岛海洋工程研究院、罗博飞水下机器人、青岛蓝色中心等项目正式投入运营，国家海洋设备质检中心、青岛中德新能源与环保研究院、国家水下文化遗产保护基地、中国矿晶博物馆等40余个项目加快推进。这些项目立足世界海洋科研最前沿，极大提升了青岛科研实力与国际影响力，国际先进的海洋发展中心正在加快形成。相关链接：重点项目建设引领青岛经济社会发展重点项目建设带来的不只是经济的贡献度，还有交通、教育、卫生、民政、体育、文化等和市民生活密切相关的城市服务功能的改善。经济：先进制造业加快发展 高端服务中心初具规模据介绍，“十二五”期间，我市瞄准“蓝高新”，按照“大项目-产业链-产业集群-产业基地”发展模式，滚动推进投资10亿元以上重大先进制造业项目100多个，空客直升机、比亚迪新能源汽车、一汽大众、新松机器人、歌尔声学、庞巴迪动车、上汽通用五菱发动机等一批大项目落地建设。目前已累计开工60个，竣工40个。在这些大项目带动下，2015年，我市家电、石化、服装、食品、机械装备、汽车、轨道交通装备、橡胶、船舶海工、电子信息等十条工业产业链完成产值13010.5亿元，同比增长7.8%，占全市规模以上工业总产值比重高达75%。围绕新材料、生物、高端装备制造、新能源等七大战略性新兴产业发展领域，每年滚动推进战略性新兴产业项目150个，152个项目竣工投产，全部项目累计完成投资1185亿元。我市战略性新兴产业产值年均增速高于规模以上工业总产值增速，2015年战略性新兴产业产值占规模以上工业总产值比重突破20%。与此同时， “十二五”期间，我市积极推进高端服务业“十个千万平米工程”，在299个服务业市级重点项目带动下， 47个服务业产业园区加快建设，累计完成投资5464亿元，竣工面积10870万平米、运营面积8157万平米，服务业产业结构进一步优化。市南高端金融商务区利用外资规模和质量大幅提升；市北中央商务区现代服务业企业不断涌现；崂山金家岭金融新区、全球财富中心入驻金融机构和金融服务企业不断扩容，股权、债权等多元化融资业绩持续攀升。民生：城市交通基础设施完善 公共服务设施大幅度提升“十二五”期间，我市交通基础设施领域实施市级重点项目45个，总投资2200多亿元。首先，快速路加快建设。胶州湾大桥、胶州湾隧道相继建成通车，实现了青、黄、红岛之间的快速连通。建成胶州湾隧道两端接线、快速路三期、新疆路高架、疏港高架等城市快速路，增强了主城区与环湾快速通道的衔接，初步构建东岸、西岸、北岸城区环湾快速路网。其次，轨道交通建设跨越式发展，公交覆盖率显著提高。目前我市轨道交通线路在建5条线（1、2、3、11、13号线），地铁工程累计完成投资超过300亿元。建成全省第一条现代有轨电车示范线，总长8.77公里。开通东岸城区至西、北岸城区的公交线路，更新、增加公交车6174辆，新增公交场站11处，实现三大主城区公交网络的覆盖对接。再次，城际交通基础设施加快完善。海青铁路、铁路北客站等项目建成投入使用，青岛新机场、青连铁路、济青高铁、青荣城际铁路等一批重大基础设施项目正在加快推进，加速了半岛交通一体化进程。与此同时，在教育领域领域，新建、改扩建中小学校729所，是“十一五”的2倍。青岛外语学校、青岛美术学校、青岛19中、青岛39中、青岛实验高中等5所寄宿制普通高中已全部建成并投入使用。青岛艺术学校、青岛市盲校加快建设，青岛幼儿师专、青岛中学启动建设。在卫生领域领域，市、区两级财政卫生重点项目投资达到82亿元，是“十一五”的2倍。市级和区域性医疗中心建设陆续完成，市海慈医疗集团国医堂、市中心医院病房楼、市妇儿医院、西海岸医院等项目竣工并投入使用。即墨、莱西、平度等6个县级医院扩建工程全部完成，医院规模和服务能力均达到三级医院标准。全市村卫生室、社区卫生服务机构覆盖率达到100%。在民政、体育、文化等领域，青岛市社会福利院、儿童福利院和优抚医院改扩建及各区市敬老院、福利中心等项目加快建设。新建11处市民文化中心，总投资达49.2亿元，总建筑面积69.7万平方米，图书馆、文化馆、博物馆和美术馆等公共文化设施全部达到或高于国家标准。市体育中心体育场改造工程完成，市少儿图书馆建成使用，市残疾人康复中心开工建设。"
"这是一个新闻,新闻的关键词是潍坊发布大风黄色预警 阵风风力可达8级,摘要为齐鲁网潍坊7月20日讯（记者李杨）据潍坊市气象局发布的天气预报显示，20日白天中雨，夜间转为小雨。受降雨影响，潍坊市最高气温降至26℃。此外,标题为潍坊发布大风黄色预警 阵风风力可达8级,正文为齐鲁网潍坊7月20日讯（记者李杨）据潍坊市气象局发布的天气预报显示，20日白天中雨，夜间转为小雨。受降雨影响，潍坊市最高气温降至26℃。此外，市气象局发布大风蓝色预警信号。预警显示，受地面气旋的影响，预计20日我市将受大风影响，东南风4到5级，阵风可达8级并可能持续，请各单位注意防范。针对大风天气，市气象局提出以下几点防风安全措施：1、关好门窗，加固围板、棚架、广告牌等易被风吹动的搭建物，妥善安置易受大风影响的室外物品，遮盖建筑物资。2、如果是危旧房屋，应马上转移避险。3、幼儿园、学校应采取暂避措施，发布大风橙色预警信号时建议停课。4、露天集体活动或室内大型集会应及时停止，并做好人员疏散工作。5、船舶应到避风场所避风，加固港口设施，防止船舶走锚、搁浅和碰撞；高空、滩涂、水上等户外作业人员应停止作业。6、及时切断霓虹灯招牌及危险物的室外电源，以防电击人体或引起火灾。7、机场、高速公路等单位应当采取保障交通安全的措施。8、在干燥季节，林区、草原、城镇要控制火源。想爆料？请登录《阳光连线》（http://minsheng.iqilu.com/）、拨打新闻热线0531-81695000，或登录齐鲁网官方微博（@齐鲁网）提供新闻线索。"
"这是一个新闻,新闻的关键词是中国核电缩小预增区间 2015年净利或超38亿,摘要为中国核电（601985）今日发布2015年业绩预增公告，显示2015年公司净利润将同比上年同期增长50%至55%，最高有望达到38.3亿元。,标题为中国核电缩小预增区间 2015年净利或超38亿,正文为中国核电（601985）今日发布2015年业绩预增公告，显示2015年公司净利润将同比上年同期增长50%至55%，最高有望达到38.3亿元。相比去年三季报预测，这次预告缩小了预增变动区间。2014年公司实现净利润24.71亿元，每股收益0.226元。2015年由于新机组投运，发电量增加，公司预计当年实现归属于上市公司股东的净利润将达到37.08亿元至38.31亿元之间。2015年三季报显示，中国核电预测年初至下一报告期期末的累计净利润与上年同期相比预增20%-60%。相较本次预告披露，业绩预计差异幅度超过10%。对于变动差异幅度是否构成更正的条件，业绩预告并未给予明确规定。业绩快报则规定：在披露定期报告之前，公司若发现有关财务数据和指标的差异幅度将达到10%的，应当及时披露业绩快报更正公告，说明具体差异及造成差异的原因；差异幅度达到20%的，公司还应当在披露相关定期报告的同时，以董事会公告的形式进行致歉，说明对公司内部责任人的认定情况等。对此，中国核电董秘罗小未向证券时报·莲花财经（ID:lianhuacaijing）记者表示，相比去年三季报预告，本次业绩预告是经过最新的推算，缩小了变动区间，提高准确性。根据Wind统计，截至4月4日，共计161家沪市上市公司发布了业绩预告或者更正修订预告，不到10家公司在1月30日之后发布了更正公告。这些公司基本为预减、首亏类型。比如，3月30日道森股份发布《关于2015年度业绩预告的更正公告》，显示经财务部门再次测算，预计2015年度净利润将同比减少65%～75%。相比，前次业绩预告2015年净利润将同比减少35%～55%。对此，公司罗列了变动原因，董事会进行致歉。重庆钢铁也在3月26日发布业绩修正公告，显示公司预计净利润亏损幅度从前次-39亿元扩大至-59.8亿元，同时公告了变动原因并致歉。随后3月31日年报披露显示，去年公司净利润为-59.87亿元。对业绩预增进行更正也并非没有先例。*ST中昌3月23日发布《2015年年度业绩预告更正公告》，显示公司预计2015年将实现扭亏为盈，归属于上市公司股东的净利润1200万元到2000万元。而公司前次业绩预告净利润为500万元到1000万元。国际原油精准解析（非投资者可选读）昨日探高收低。亚欧盘围绕44.80附近守稳。空头还是当中。只是过程反复而已。日图低位收阴有望破低，昨日的探高回落带动日图指标向下。今日K线收盘在低位区域。或许弱势格局欧盘前就会破低下行。所以节奏一定要把握好。日图和周图继续看回落。现在4小时台阶高点逐渐下移。而低点却多次靠近44.30.靠近的次数多了。突破的机率就在加大。今日操作仍然依托周一的高点做分界点逢高做空。由于新合约报价，所以点位要做一个更新。参考其它无跳空合约的报价。原油仍是处在低位整理。那么欧盘就会显弱。当然，原油投资者也可依据梅瀚哲的雷霆波段交易系统自行寻找买卖点，梅氏杠杆定级和做单区域稳健进场！【声明：本文由分析师瀚哲原创，转载望说明出处，否则定为抄袭，谢谢】梅瀚哲老師叱咤金融投资市场，指导社会各界精英人士，帮助制定投资理财规划，达到项目的最优组合，实现财富的最大利用。專註研究國際國內經濟形勢，對金融有獨到見解。對現貨原.油瀝青、天然氣、白銀銅以及外匯、股指有興趣的朋友，隨時歡迎促膝交流。心态决定成败，其实你已经有了前进的方向，只是差一个与你同行、给你信心的知己，漫漫人生路，知己有几何。文/瀚哲论金（djss6666），喜欢本文欢迎发布到朋友圈分享给更多朋友。"
"这是一个新闻,新闻的关键词是陈慧珊 MTV【只有情永在】,摘要为陈慧珊MTV【只有情永在】,标题为陈慧珊 MTV【只有情永在】,正文为陈慧珊MTV【只有情永在】"
你是谁? 我是由良睦路程序员训练的一个AI模型31114789
你是谁? 我是由良睦路程序员训练的一个AI模型70423445
"这是一个新闻,新闻的关键词是海淀上庄镇6村建便民服务队,摘要为在海淀区上庄镇皂甲屯村，谁家水管坏了，一个电话，有人来修；谁家电线断了，一声招呼，有人来接；谁家有婚丧嫁娶，有人第一时间赶到张罗……这些人来,标题为海淀上庄镇6村建便民服务队,正文为在海淀区上庄镇皂甲屯村，谁家水管坏了，一个电话，有人来修；谁家电线断了，一声招呼，有人来接；谁家有婚丧嫁娶，有人第一时间赶到张罗……这些人来自皂甲屯村党员便民服务队，无论事情多琐碎，无论村民求助时是白天还是晚上，他们都随时“待命”。上庄镇党委副书记辛果介绍，成立党员便民服务队是上庄镇党委、政府为进一步服务群众推行的新举措。今年，上庄镇党委、政府为解决服务群众“最后一公里”问题，在各村建成了“群众服务站”，让群众的大事小情不用东奔西跑，可以直接利用这个便捷高效的平台。如今，“党员便民服务队”的成立比“最后一公里”还要“近”，实现了服务群众“零距离”，真真正正把关怀送到了千家万户，送到了田间地头。目前，全镇20个村已有6个村率先组建了党员便民服务队。昨天，北京晨报记者来到率先建立党员便民服务队的皂甲屯村。在67岁的村民黄德润家，新修好的下水道就是党员便民服务队的服务成果。“便民队是真真正正的便民，服务群众，还免费。像我们下水道堵了，如果去外面找工人来修，怎么也得好几百块钱。辛果介绍，党员便民服务队由各村党支部直接领导，村党支部、村委会设有群众服务热线电话，村民家中出现的大事、小事、急事、难事、杂事等均可拨打，村干部和党员志愿者全部24小时开机。"
"这是一个新闻,新闻的关键词是郑爽和古力娜扎谁更美？看完这些照片你就知道了,摘要为郑爽和古力娜扎谁更美？看完这些照片你就知道了,标题为郑爽和古力娜扎谁更美？看完这些照片你就知道了,正文为郑爽和古力娜扎谁更美？看完这些照片你就知道了"
"这是一个新闻,新闻的关键词是女人为什么胖在腰部！你所忽视的秘密！,摘要为腰部往往是女人最容易堆积脂肪的地方你有想过为什么吗？◆◆◆◆◆腰①腰是人体的带脉区，所有的经络都是竖着的，只有带脉是横着的，也是身体微循环最,标题为女人为什么胖在腰部！你所忽视的秘密！,正文为腰部往往是女人最容易堆积脂肪的地方你有想过为什么吗？◆◆◆◆◆腰①腰是人体的带脉区，所有的经络都是竖着的，只有带脉是横着的，也是身体微循环最薄弱的地方，腰部脂肪过多容易造成淤堵现象，堆积毒素和脂肪，穿衣服没型。② 腰是督脉和任脉经过的地方，脂肪压迫在带脉上易造成气血循环变差。气不顺：出现头部缺氧状态，头晕、头痛、失眠、多梦、记忆力下降。血流受阻：易形成低血压和三高，三高在医学界的死亡率是最高的。 背部背厚1公分人显老3岁千金难买老来瘦，背薄如纸最健康。① 脊椎：是人体年轻的第二道生命线，也是五脏六腑的反射区，因为五脏六腑的神经和血管都连在脊椎上。脊椎弯曲变形容易压迫五脏六腑，还容易形成椎间盘突出和骨质增生，80%的慢性疾病都是因为脊椎弯曲变形所导致。脊椎的健康决定人体的健康！② 高低肩：也是由于脊椎側弯变形所导致，若不加以矫正很容易造成半身不遂和中风。③ 大椎：是督脉的总开关，脂肪压迫大椎易形成头部缺氧，出现头晕、头痛、失眠、多梦、记忆力下降。④ 脊椎两边是膀胱经：膀胱经是人体最大的两条排水排毒通道，背部脂肪厚压迫膀胱经会造成排水排毒不畅，毒素堆积，水肿、肥胖甚至疾病。环跳穴：是卵巢的反射区，臀扁平下垂就意味着荷尔蒙激素水平开始下降，阴道开始松弛，分泌物开始减少，性冷淡，身材走形。 腿有六条经络经过① 肝胆经：（内肝外胆），是解毒排毒的，大腿脂肪过多会出现内扩外扩、大象腿、擦裆现象，压迫肝胆经导致排毒受阻，使体内毒素增加，湿气增加，而阴部本来就阴暗潮湿，这样就增加了阴部的湿润度，加速了细菌的繁殖，容易导致妇科炎症。② 脾胃经：脾胃是管肉的，脂肪过多压迫脾胃经易造成脾胃失调，出现皮肤松弛，营养失衡，皮肤发黄，有的喝水都长肉，有的吃再多也不长肉。③ 肾经膀胱经：肾经膀胱经是管水的，脂肪过多易压迫肾经膀胱经，易造成体内湿气和毒素增加，新陈代谢减慢，体重上升，下身浮肿，减肥也难减。腹部：有子宫、卵巢、输卵管、大小直肠、膀胱，称为女人的根部。子宫孩子的宫殿，月经的摇篮，生命的故乡！女性本来就属阴性，偏寒。子宫是女人的包中穴，任脉的发源地，是每月产生经血的地方，也是排血毒的器官，为什么女人的寿命一般都比男人长，因为女人多了一个排血毒的器官——子宫，您觉得经血在体内好还是排出去好？ 现在有很多女性平时喜欢吃寒性食物，如：西瓜、梨、香蕉、海鲜、冰激凌、冰饮料等，喜欢穿低腰裤、露脐装、穿裙子和凉鞋，而现在的条件很好都在使用空调，几乎都在空调环境中，没有太多出汗排毒的机会，最易导致宫寒。中医称：血遇寒则凝，凝则瘀，瘀则堵，淤堵的经血不易排出体外，就会残留在子宫的褶皱里面形成子宫垃圾，时间久了没有清理的话垃圾容易腐 烂、病变，导致子宫肌 瘤，子宫肌 瘤就是没有排干净的经血，而子宫肌 瘤切开里面就是一包血。1、卵巢：是分泌荷尔蒙、卵泡和卵子的，也是女人年轻的发动机，宫寒会导致卵巢的分泌功能下降，内分泌失调，降低排卵影响受孕，甚至提前进入更年期。2、输卵管：是输送营养给子宫和卵巢的，也是输送受精卵着床的，宫寒容易造成输卵管堵塞甚至粘连，形成不孕、流产甚至宫外孕。3、大小直肠：是排体内肠毒的，有医学数据调查显示：5公斤的肠道毒素足足可以毒死一头牛。腹部脂肪过多易压迫大小直肠，抑制肠道蠕动，容易形成便秘，便溏或结肠。女人多吃这些食物，祛斑、瘦腰又减腹~↓↓↓1：酸奶 酸奶不仅含有牛奶的丰富营养成分，富含钙质和乳酸清，帮助抑制胆固醇。还含有助清肠作用的乳酸菌，能够改善便秘，加快肠胃蠕动，把体内的老残废物排泄掉，小肚子自然也会变小啦。2：韭菜 韭菜含有丰富的维生素、蛋白质和微量元素，最让人惊喜的是还含有胡萝卜素和大量的纤维素，有很好的预防和治疗便秘作用，能够增强肠胃活动机能，把肠道中多余的脂肪排泄出去。3：海带 低价又营养丰富的海带，除了具有强大的排毒功效外，也有很好的消脂作用，是女性们不可错过的明星减肥食品。其富含的牛磺酸和食物纤维藻酸，可以帮助降低胆固醇，排出肠内脂肪。4：生菜 素有减肥菜之称的生菜，含有丰富的膳食纤维和维生素C，能够增强饱腹感，消除多余的脂肪。而且生菜内含的莴苣素和甘露醇等成分，更是降低胆固醇、排油消脂、利尿和促进血液循环的天然物质。5：胡萝卜 胡萝卜除了丰富的纤维素能够延长饱足感之外，其富含的维生素C和β-胡萝卜素，更能避免脂肪在腹部堆积。6：木耳 木耳可谓是肠胃的“清道夫”，能够促进消化，降低血脂，帮助肠道多余废物和脂肪排泄。还能够采血驻颜，有效排毒减肥的同时，还另肌肤红润，容光焕发。7：魔芋 富含膳食纤维的魔芋的瘦身效果特别明显。魔芋在肠胃里迅速吸水膨胀，增强饱足感又不伤害消化系统，还能脂肪酶的活性以及内分泌的机能，迅速分解排泄脂肪。8：大蒜 大蒜可是血液的净化剂，大蒜在消化过程中的硫基化合物，可以降低坏胆固醇，并有助于增加高密度胆固醇，帮助溶解脂肪，有助于减肥消除肚腩。如果你真的想要减肥，那你一定要瘦下来，加晓玉【微信/QQ：254539595】，已经帮助上千名网友减肥成功，解决瘦身难题，为你制定健康减肥计划！"
"这是一个新闻,新闻的关键词是败夫的女人面相,摘要为现实生活当中，很多男生都希望娶到一个能够旺夫的女人，能让自己在事业上更上一层楼，而有的女人却长着一副“败夫相”。如果男生娶了这样的女人之后，,标题为败夫的女人面相,正文为现实生活当中，很多男生都希望娶到一个能够旺夫的女人，能让自己在事业上更上一层楼，而有的女人却长着一副“败夫相”。如果男生娶了这样的女人之后，会使男生的运势变垮。那么，接下来，就让我们从面相图解的角度一起来看看哪些女人有败夫面相吧！ 1、眼露四白的女人克男人事业女人的眼睛眯眯的时候看不出来什么，而一旦睁开的时候，会发现她的黑眼珠小，而眼珠周围露出四面白眼仁来，这样的面相女人先天肝胆之气不足，而做人做夫妻是要肝胆相照的，这样的女人面相进门就克丈夫的事业。2、鼻梁上面有疤痕或者横纹鼻梁代表了丈夫事业的兴起，而女人的鼻梁有疤痕或者横纹的话，那么她的丈夫的事业就会跌落，中途败落下去。这个疤痕有可能是女孩子小时候受伤了或者是她原来就有横纹，那么由于鼻子是代表夫星，也代表她老公的好坏，所以假如女方鼻梁上有疤痕，就会影响到男方的事业。3、额低眼细的女人额头低窄而两边窄窄的面相，这样的女人做事目光短浅，贪心重，而贪者必贫，而额头同时也代表丈夫事业未来的，女人这样的额头面相，她的男人事业就没有前途，做什么事情，什么事情就会滑坡。4、口大无收的女人面相嘴大的女人善吃，注重口腹之欲，而嘴大无收的女人，就会贪得无厌，只注重物质享受。女孩子口大一定喜欢讲话，喜欢讲话没关系，但若是加上“不收”的话，她们可就会到处去讲人家的坏话，没有收敛。那这样的女人容易干涉老公公司的营运状况，甚至到处骂那些职员或者骂人家的员工，这样长久下来，老公事业大概也不要做了！5、头发粗黄暗淡女人面相头发为肝肾的华彩，女子的头发枯黄没有光泽，那么就是肝肾之气不足，肾主智慧，肝主行动，所以做事没有考虑而且志气不高，这样的面相嫁人后，拖累丈夫运气，克制丈夫事业。这种女人表示她的个性本身就很粗暴而且刚强不妥协，做事情一定坚持她的意见。那么老公要怎么做，她一定要以为老公这样不对，要老公改进，当然男人受到这种干涉，事业一定不容易成功。6、眉稀声破的女人克丈夫事业女人的眉毛若是太少、稀稀疏疏，表示她很薄情或者很寡情;而声音破就是比较沙哑，这样的女人容易闹的全家鸡犬不宁，当然也会影响丈夫的事业。女人眉毛惨淡的，感情就不顺利，而且夫运低靡，声音破败的，象破锣音的，夫运破败，丈夫运势不起。--------------------------------------------------------------------------------------------财运、健康、爱情婚姻难题；小人近身，凡事纷扰；想在今后的日子里婚姻幸福，家庭和睦，财运事业蒸蒸日上请添加【福来居士】私人微信号：43681238 为您精准点拨！"
